"actor_id","identifier","namespace","datasource_id"
"AS","016","ISO-3166-1 numeric","ISO 3166-1:2020"
"AD","020","ISO-3166-1 numeric","ISO 3166-1:2020"
"AO","024","ISO-3166-1 numeric","ISO 3166-1:2020"
"AI","660","ISO-3166-1 numeric","ISO 3166-1:2020"
"AQ","010","ISO-3166-1 numeric","ISO 3166-1:2020"
"AG","028","ISO-3166-1 numeric","ISO 3166-1:2020"
"AR","032","ISO-3166-1 numeric","ISO 3166-1:2020"
"AM","051","ISO-3166-1 numeric","ISO 3166-1:2020"
"AW","533","ISO-3166-1 numeric","ISO 3166-1:2020"
"AU","036","ISO-3166-1 numeric","ISO 3166-1:2020"
"AT","040","ISO-3166-1 numeric","ISO 3166-1:2020"
"AZ","031","ISO-3166-1 numeric","ISO 3166-1:2020"
"BS","044","ISO-3166-1 numeric","ISO 3166-1:2020"
"BH","048","ISO-3166-1 numeric","ISO 3166-1:2020"
"BD","050","ISO-3166-1 numeric","ISO 3166-1:2020"
"BB","052","ISO-3166-1 numeric","ISO 3166-1:2020"
"BY","112","ISO-3166-1 numeric","ISO 3166-1:2020"
"BE","056","ISO-3166-1 numeric","ISO 3166-1:2020"
"BZ","084","ISO-3166-1 numeric","ISO 3166-1:2020"
"BJ","204","ISO-3166-1 numeric","ISO 3166-1:2020"
"BM","060","ISO-3166-1 numeric","ISO 3166-1:2020"
"AX","248","ISO-3166-1 numeric","ISO 3166-1:2020"
"BT","064","ISO-3166-1 numeric","ISO 3166-1:2020"
"BO","068","ISO-3166-1 numeric","ISO 3166-1:2020"
"BQ","535","ISO-3166-1 numeric","ISO 3166-1:2020"
"BA","070","ISO-3166-1 numeric","ISO 3166-1:2020"
"BW","072","ISO-3166-1 numeric","ISO 3166-1:2020"
"BV","074","ISO-3166-1 numeric","ISO 3166-1:2020"
"BR","076","ISO-3166-1 numeric","ISO 3166-1:2020"
"IO","086","ISO-3166-1 numeric","ISO 3166-1:2020"
"BN","096","ISO-3166-1 numeric","ISO 3166-1:2020"
"BG","100","ISO-3166-1 numeric","ISO 3166-1:2020"
"BF","854","ISO-3166-1 numeric","ISO 3166-1:2020"
"BI","108","ISO-3166-1 numeric","ISO 3166-1:2020"
"CV","132","ISO-3166-1 numeric","ISO 3166-1:2020"
"KH","116","ISO-3166-1 numeric","ISO 3166-1:2020"
"CM","120","ISO-3166-1 numeric","ISO 3166-1:2020"
"CA","124","ISO-3166-1 numeric","ISO 3166-1:2020"
"KY","136","ISO-3166-1 numeric","ISO 3166-1:2020"
"CF","140","ISO-3166-1 numeric","ISO 3166-1:2020"
"TD","148","ISO-3166-1 numeric","ISO 3166-1:2020"
"CL","152","ISO-3166-1 numeric","ISO 3166-1:2020"
"CN","156","ISO-3166-1 numeric","ISO 3166-1:2020"
"CX","162","ISO-3166-1 numeric","ISO 3166-1:2020"
"CC","166","ISO-3166-1 numeric","ISO 3166-1:2020"
"CO","170","ISO-3166-1 numeric","ISO 3166-1:2020"
"KM","174","ISO-3166-1 numeric","ISO 3166-1:2020"
"CD","180","ISO-3166-1 numeric","ISO 3166-1:2020"
"CG","178","ISO-3166-1 numeric","ISO 3166-1:2020"
"CK","184","ISO-3166-1 numeric","ISO 3166-1:2020"
"CR","188","ISO-3166-1 numeric","ISO 3166-1:2020"
"HR","191","ISO-3166-1 numeric","ISO 3166-1:2020"
"CU","192","ISO-3166-1 numeric","ISO 3166-1:2020"
"CW","531","ISO-3166-1 numeric","ISO 3166-1:2020"
"CY","196","ISO-3166-1 numeric","ISO 3166-1:2020"
"CZ","203","ISO-3166-1 numeric","ISO 3166-1:2020"
"CI","384","ISO-3166-1 numeric","ISO 3166-1:2020"
"DK","208","ISO-3166-1 numeric","ISO 3166-1:2020"
"DJ","262","ISO-3166-1 numeric","ISO 3166-1:2020"
"DM","212","ISO-3166-1 numeric","ISO 3166-1:2020"
"DO","214","ISO-3166-1 numeric","ISO 3166-1:2020"
"EC","218","ISO-3166-1 numeric","ISO 3166-1:2020"
"EG","818","ISO-3166-1 numeric","ISO 3166-1:2020"
"SV","222","ISO-3166-1 numeric","ISO 3166-1:2020"
"GQ","226","ISO-3166-1 numeric","ISO 3166-1:2020"
"ER","232","ISO-3166-1 numeric","ISO 3166-1:2020"
"EE","233","ISO-3166-1 numeric","ISO 3166-1:2020"
