actor_id,country_emissions,country_targets,country_population,country_gdp,country_territory,subnational_count,subnational_emissions,subnational_targets,subnational_population,subnational_gdp,subnational_territory,city_count,city_emissions,city_targets,city_population,city_gdp,city_territory
GF,0,0,1,0,0,0,0,0,0,0,0,,,,,,
PF,0,0,1,0,1,0,0,0,0,0,0,,,,,,
GA,1,0,1,1,1,9,0,0,0,0,9,,,,,,
KM,1,1,1,1,1,3,0,0,1,0,3,,,,,,
TD,1,1,1,1,1,23,0,0,0,0,10,,,,,,
NL,1,1,1,1,1,18,0,0,7,0,18,,,,,,
NE,1,1,1,1,1,8,0,0,0,0,8,,,,,,
MP,0,0,1,0,1,0,0,0,0,0,0,,,,,,
PS,0,1,1,0,1,16,0,0,5,0,14,,,,,,
PH,1,1,1,1,1,17,0,0,16,0,16,,,,,,
RU,1,1,1,1,1,83,0,0,83,0,83,,,,,,
MF,0,0,1,0,1,0,0,0,0,0,0,,,,,,
SX,0,0,1,0,1,0,0,0,0,0,0,,,,,,
SD,1,1,1,1,1,18,0,0,7,0,16,,,,,,
SY,1,0,1,1,1,14,0,0,12,0,13,,,,,,
AE,1,1,1,1,1,7,0,0,3,0,7,,,,,,
GB,1,1,1,1,1,4,0,2,0,0,4,,,,,,
UM,0,0,0,0,0,9,0,0,5,0,9,,,,,,
US,1,1,1,1,1,57,50,25,56,0,57,,,,,,
VE,1,1,1,1,1,25,0,0,2,0,25,,,,,,
VG,1,0,1,0,1,0,0,0,0,0,0,,,,,,
VI,0,0,1,0,1,0,0,0,0,0,0,,,,,,
EH,0,0,1,0,0,0,0,0,0,0,0,,,,,,
MZ,1,1,1,1,1,11,0,0,10,0,11,,,,,,
MM,1,1,1,1,1,15,0,0,11,0,15,,,,,,
MC,1,1,1,0,1,17,0,0,0,0,9,,,,,,
MN,1,1,1,1,1,22,0,0,7,0,22,,,,,,
ME,1,1,1,1,1,24,0,0,22,0,19,,,,,,
MS,0,0,1,0,0,0,0,0,0,0,0,,,,,,
MA,1,1,1,1,1,12,0,0,0,0,12,,,,,,
BV,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BR,1,1,1,1,1,27,7,2,27,0,27,,,,,,
BN,1,1,1,1,1,4,0,0,4,0,4,,,,,,
