ISO-3166-1,Region Name, ISO-3166-2
FI,Uusimaa,FI-19
FI,Varsinais-Suomi,FI-17
FI,Österbotten,FI-10
FR,Grand Est,FR-47
FR,Pays de la Loire,FR-52
FR,Provence-Alpes-Côte d'Azur,FR-93
GB,Cymru Wales,GB-WLS
GB,England,GB-ENG
GB,Scotland,GB-SCT
GR,Αποκεντρωμένη Διοίκηση Αιγαίου,GR-71
GR,Αποκεντρωμένη Διοίκηση Αττικής,GR-A1
GR,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,GR-D1
GR,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,GR-G1
GR,Αποκεντρωμένη Διοίκηση Κρήτης,GR-C1
GR,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,GR-E1
GR,"Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου",GR-F1
GR,Вардарски СР,GR-92
HU,Alföld és Észak,HU-BU
HU,Dunántúl,HU-KM
HU,Közép-Magyarország,HU-GS
IT,Trentino-Alto AdigeSüdtirol,IT-TN
IT,Valle d'AostaVallée d'Aoste,IT-AO
LV,Kurzeme,LV-KU
LV,Latgale,LV-LA
LV,Vidzeme,LV-VI
LV,Zemgale,LV-ZE
MT,Għawdex,MT-01
MT,Nofsinhar,MT-02
MT,Tramuntana,MT-03
MT,Xlokk,MT-04
MT,Ċentrali,MT-05
NL,Limburg,NL-LI
NO,Jan Mayen,NO-22
NO,Svalbard,NO-21
NO,Troms og Finnmark,NO-19
NO,Trøndelag,NO-18
PL,województwo dolnośląskie,PL-DS
PL,województwo kujawsko-pomorskie,PL-KP
PL,województwo lubelskie,PL-LU
PL,województwo lubuskie,PL-LB
PL,województwo mazowieckie,PL-MZ
PL,województwo małopolskie,PL-MA
PL,województwo opolskie,PL-OP
PL,województwo podkarpackie,PL-PK
PL,województwo podlaskie,PL-PD
PL,województwo pomorskie,PL-PM
PL,województwo warmińsko-mazurskie,PL-WM
PL,województwo wielkopolskie,PL-WP
PL,województwo zachodniopomorskie,PL-ZP
PL,województwo łódzkie,PL-LD
PL,województwo śląskie,PL-SL
PL,województwo świętokrzyskie,PL-SK
PL,Закарпатська область,PL-ZZ
PT,Alentejo,PT-07
PT,Algarve,PT-08
PT,Açores,PT-20
PT,Centro,PT-18
PT,Madeira,PT-30
PT,Norte,PT-03
PT,Área Metropolitana de Lisboa,PT-11
RO,Călărași,RO-CL
RO,Municipiul București,RO-B
SE,Blekinge län,SE-K
SE,Dalarnas län,SE-W
SE,Gotlands län,SE-I
SE,Gävleborgs län,SE-X
SE,Hallands län,SE-N
SE,Jämtlands län,SE-Z
SE,Jönköpings län,SE-F
SE,Kalmar län,SE-H
SE,Kronobergs län,SE-G
SE,Norrbottens län,SE-BD
SE,Region Hovedstaden,SE-AB
SE,Skåne län,SE-M
SE,Stockholms län,SE-AB
SE,Södermanlands län,SE-D
SE,Uppsala län,SE-C
SE,Värmlands län,SE-S
SE,Västerbottens län,SE-AC
SE,Västernorrlands län,SE-Y
SE,Västmanlands län,SE-U
SE,Västra Götalands län,SE-O
SE,Örebro län,SE-T
SE,Östergötlands län,SE-E
SK,Nitrianský kraj,SK-NC
SK,Trenčianský kraj,SK-TC
TR,Hakkari,TR-26
UA,Івано-Франківська область,UA-IF
UA,Автономна Республіка Крим,UA-43
UA,Волинська область,UA-VO
UA,Вінницька область,UA-VI
UA,Дніпропетровська область,UA-DP
UA,Донецька область,UA-DO
UA,Житомирська область,UA-ZK
UA,Закарпатська область,UA-ZA
UA,Запорізька область,UA-ZP
UA,Київ,UA-30
UA,Київська міська громада,UA-32
UA,Київська область,UA-31
UA,Кіровоградська область,UA-KV
UA,Луганська область,UA-14
UA,Львівська область,UA-46
UA,Миколаївська область,UA-48
UA,Полтавська область,UA-53
UA,Республика Крым,UA-40
UA,Рівненська область,UA-56
UA,Севастополь,UA-61
UA,Тернопільська область,UA-59
UA,Харківська область,UA-63
UA,Херсонська область,UA-65
UA,Хмельницька область,UA-68
UA,Черкаська область,UA-71
UA,Чернівецька область,UA-74
UA,Чернігівська область,UA-77
