actor_id,area,datasource_id
IT NDC,8,OEF:WD:city-area:20221105
IT BXO,60,OEF:WD:city-area:20221105
IT CYO,17,OEF:WD:city-area:20221105
IT BCA,33,OEF:WD:city-area:20221105
IT CV7,12,OEF:WD:city-area:20221105
IT AVS,45,OEF:WD:city-area:20221105
IT CRL,14,OEF:WD:city-area:20221105
IT ZFQ,13,OEF:WD:city-area:20221105
IT CRP,30,OEF:WD:city-area:20221105
IT CEG,9,OEF:WD:city-area:20221105
IT CME,8,OEF:WD:city-area:20221105
IT CCI,6,OEF:WD:city-area:20221105
IT CTD,26,OEF:WD:city-area:20221105
IT CTC,21,OEF:WD:city-area:20221105
IT ZTO,14,OEF:WD:city-area:20221105
RU ARS,91,OEF:WD:city-area:20221105
IT CZM,22,OEF:WD:city-area:20221105
IT CLK,7,OEF:WD:city-area:20221105
IT ETO,32,OEF:WD:city-area:20221105
RU ATM,506,OEF:WD:city-area:20221105
RU ART,506,OEF:WD:city-area:20221105
IT CIH,38,OEF:WD:city-area:20221105
IT CCO,3,OEF:WD:city-area:20221105
IT ZGJ,12,OEF:WD:city-area:20221105
IT CLL,5,OEF:WD:city-area:20221105
RU ASB,107,OEF:WD:city-area:20221105
IT CGE,14,OEF:WD:city-area:20221105
IT ZEX,19,OEF:WD:city-area:20221105
IT ICF,14,OEF:WD:city-area:20221105
IT L2Z,12,OEF:WD:city-area:20221105
RU SAA,11,OEF:WD:city-area:20221105
RU ABS,17,OEF:WD:city-area:20221105
RU ACS,103,OEF:WD:city-area:20221105
IT DBT,36,OEF:WD:city-area:20221105
IT DEL,23,OEF:WD:city-area:20221105
IT DDG,59,OEF:WD:city-area:20221105
IT EDL,89,OEF:WD:city-area:20221105
IT ESO,16,OEF:WD:city-area:20221105
IT ESN,30,OEF:WD:city-area:20221105
IT FSE,16,OEF:WD:city-area:20221105
IT FEO,10,OEF:WD:city-area:20221105
IT GMB,32,OEF:WD:city-area:20221105
IT GAR,27,OEF:WD:city-area:20221105
IT GGO,77,OEF:WD:city-area:20221105
IT GVO,30,OEF:WD:city-area:20221105
IT GHI,61,OEF:WD:city-area:20221105
IT GTL,29,OEF:WD:city-area:20221105
IT GSS,25,OEF:WD:city-area:20221105
IT IDO,23,OEF:WD:city-area:20221105
IT IEO,28,OEF:WD:city-area:20221105
IT BTS,15,OEF:WD:city-area:20221105
IT NEV,32,OEF:WD:city-area:20221105
IT ENL,58,OEF:WD:city-area:20221105
IT LOG,12,OEF:WD:city-area:20221105
IT ZMK,68,OEF:WD:city-area:20221105
IT GHN,3,OEF:WD:city-area:20221105
IT LZN,32,OEF:WD:city-area:20221105
IT DIO,5,OEF:WD:city-area:20221105
IT MAI,12,OEF:WD:city-area:20221105
IT BR3,31,OEF:WD:city-area:20221105
IT MBR,37,OEF:WD:city-area:20221105
IT MRB,28,OEF:WD:city-area:20221105
IT MRH,23,OEF:WD:city-area:20221105
IT MMI,18,OEF:WD:city-area:20221105
IT ANE,24,OEF:WD:city-area:20221105
IT ZMU,16,OEF:WD:city-area:20221105
IT OGD,15,OEF:WD:city-area:20221105
IT AEM,13,OEF:WD:city-area:20221105
IT IMO,11,OEF:WD:city-area:20221105
IT MCH,82,OEF:WD:city-area:20221105
IT MRO,11,OEF:WD:city-area:20221105
IT MS5,10,OEF:WD:city-area:20221105
IT NAV,27,OEF:WD:city-area:20221105
IT NVE,7,OEF:WD:city-area:20221105
IT NVL,13,OEF:WD:city-area:20221105
IT ODL,7,OEF:WD:city-area:20221105
IT ZPG,23,OEF:WD:city-area:20221105
IT OME,10,OEF:WD:city-area:20221105
IT ORZ,48,OEF:WD:city-area:20221105
IT OZV,10,OEF:WD:city-area:20221105
IT OSP,9,OEF:WD:city-area:20221105
CA BKS,19,OEF:WD:city-area:20221105
IT PTD,7,OEF:WD:city-area:20221105
IT LMP,20,OEF:WD:city-area:20221105
NO HFT,5372,OEF:WD:city-area:20221105
US MJU,4,OEF:WD:city-area:20221105
US EBR,57,OEF:WD:city-area:20221105
FR RUQ,16,OEF:WD:city-area:20221105
IT AJA,44,OEF:WD:city-area:20221105
IT BGP,27,OEF:WD:city-area:20221105
IT IOB,76,OEF:WD:city-area:20221105
IT BIB,28,OEF:WD:city-area:20221105
IT BRT,18,OEF:WD:city-area:20221105
IT BRE,24,OEF:WD:city-area:20221105
IT BSN,30,OEF:WD:city-area:20221105
IT CAD,44,OEF:WD:city-area:20221105
IT CEH,24,OEF:WD:city-area:20221105
IT CPG,23,OEF:WD:city-area:20221105
IT ONZ,53,OEF:WD:city-area:20221105
IT CZ5,90,OEF:WD:city-area:20221105
IT CLG,38,OEF:WD:city-area:20221105
IT SIN,64,OEF:WD:city-area:20221105
IT CTO,58,OEF:WD:city-area:20221105
IT CDX,35,OEF:WD:city-area:20221105
IT CNQ,97,OEF:WD:city-area:20221105
IT CVI,17,OEF:WD:city-area:20221105
IT CGG,78,OEF:WD:city-area:20221105
IT FBC,24,OEF:WD:city-area:20221105
IT GTC,42,OEF:WD:city-area:20221105
IT GLT,36,OEF:WD:city-area:20221105
IT GUS,53,OEF:WD:city-area:20221105
IT MCC,24,OEF:WD:city-area:20221105
IT NOV,58,OEF:WD:city-area:20221105
IT PVI,44,OEF:WD:city-area:20221105
IT QCL,46,OEF:WD:city-area:20221105
IT RSL,23,OEF:WD:city-area:20221105
IT ZMR,14,OEF:WD:city-area:20221105
IT RUB,25,OEF:WD:city-area:20221105
IT SRM,23,OEF:WD:city-area:20221105
IT SPF,32,OEF:WD:city-area:20221105
