actor_id,lat,lng,datasource_id
HN TGU,141051,-872044,CDPCitiesTargets:2021
SE UME,638258,202630,CDPCitiesTargets:2021
IT TRN,451006,76680,CDPCitiesTargets:2021
IT TRN,451006,76680,CDPCitiesTargets:2021
CR SJO,-840796,99326,CDPCitiesTargets:2021
MC MON,437374,74208,CDPCitiesTargets:2021
CL SCL,-334489,-706693,CDPCitiesTargets:2021
SE UME,638258,202630,CDPCitiesTargets:2021
BR REC,-80578,-348829,CDPCitiesTargets:2021
BR CWB,-254311,-492647,CDPCitiesTargets:2021
TZ DAR,-67924,392083,CDPCitiesTargets:2021
PT VSE,406566,-79125,CDPCitiesTargets:2021
TH BKK,137712,1005560,CDPCitiesTargets:2021
CH BSL,475619,75928,CDPCitiesTargets:2021
HN TGU,141051,-872044,CDPCitiesTargets:2021
BE CRL,504108,44446,CDPCitiesTargets:2021
PL WRO,511079,170385,CDPCitiesTargets:2021
PL WRO,511079,170385,CDPCitiesTargets:2021
PL WRO,511079,170385,CDPCitiesTargets:2021
TW KHH,226297,1203440,CDPCitiesTargets:2021
CI COD,53602,-39674,CDPCitiesTargets:2021
DK AAR,561684,101374,CDPCitiesTargets:2021
JP YOK,354437,1396380,CDPCitiesTargets:2021
JP TYO,354100,1394100,CDPCitiesTargets:2021
PE SDR,-120977,-770273,CDPCitiesTargets:2021
DK MID,554710,98726,CDPCitiesTargets:2021
SE TRG,553751,131569,CDPCitiesTargets:2021
BR FOR,-107183,-483936,CDPCitiesTargets:2021
DE BER,525200,134050,CDPCitiesTargets:2021
AU SYD,-338675,1512070,CDPCitiesTargets:2021
NG LOS,65244,33792,CDPCitiesTargets:2021
BR SSA,-129730,-385023,CDPCitiesTargets:2021
BR BHZ,-199167,-439345,CDPCitiesTargets:2021
PT OPO,411579,-86291,CDPCitiesTargets:2021
ES BCN,413823,21775,CDPCitiesTargets:2021
PE SDR,-120977,-770273,CDPCitiesTargets:2021
CR SJO,-840796,99326,CDPCitiesTargets:2021
ME TGD,424304,192594,CDPCitiesTargets:2021
SE LPI,584109,156216,CDPCitiesTargets:2021
CI ABJ,53600,-40083,CDPCitiesTargets:2021
ES MAD,401076,-33876,CDPCitiesTargets:2021
ZA PZB,-296006,303794,CDPCitiesTargets:2021
NZ AKL,-368153,1747420,CDPCitiesTargets:2021
CH ZRH,473686,85392,CDPCitiesTargets:2021
CO MDE,62273,-755735,CDPCitiesTargets:2021
ZA CPT,-339253,184239,CDPCitiesTargets:2021
BR REC,-80578,-348829,CDPCitiesTargets:2021
HK HKG,222881,1141400,CDPCitiesTargets:2021
BR RIO,-229054,-435614,CDPCitiesTargets:2021
NZ AKL,-368153,1747420,CDPCitiesTargets:2021
PE SDR,-120977,-770273,CDPCitiesTargets:2021
IT FLR,437696,112558,CDPCitiesTargets:2021
IT FLR,437696,112558,CDPCitiesTargets:2021
JP TYO,354100,1394100,CDPCitiesTargets:2021
PE SDR,-120977,-770273,CDPCitiesTargets:2021
PT FFE,414508,-81729,CDPCitiesTargets:2021
NO OSL,599139,107522,CDPCitiesTargets:2021
ES VLC,394699,-3763,CDPCitiesTargets:2021
ES VIT,428400,-26700,CDPCitiesTargets:2021
FI ES2,602055,246559,CDPCitiesTargets:2021
BO TJA,-212666,-634884,CDPCitiesTargets:2021
TZ DAR,-67924,392083,CDPCitiesTargets:2021
DK MID,554710,98726,CDPCitiesTargets:2021
DE BER,525200,134050,CDPCitiesTargets:2021
DK MID,554710,98726,CDPCitiesTargets:2021
NO ARE,584618,87724,CDPCitiesTargets:2021
PT GUI,414443,-82922,CDPCitiesTargets:2021
MX HMO,290892,-1109610,CDPCitiesTargets:2021
ES BCN,413823,21775,CDPCitiesTargets:2021
