emissions_id,sector_id,emissions_value
EDGARv7.0:ghg:AL:2002,EDGARv7.0:sector:Power Industry,285412
EDGARv7.0:ghg:AL:2003,EDGARv7.0:sector:Power Industry,173739
EDGARv7.0:ghg:AL:2004,EDGARv7.0:sector:Power Industry,168227
EDGARv7.0:ghg:AL:2005,EDGARv7.0:sector:Power Industry,143305
EDGARv7.0:ghg:AL:2006,EDGARv7.0:sector:Power Industry,143305
EDGARv7.0:ghg:AL:2007,EDGARv7.0:sector:Power Industry,90344
EDGARv7.0:ghg:AL:2009,EDGARv7.0:sector:Power Industry,6230
EDGARv7.0:ghg:AL:2010,EDGARv7.0:sector:Power Industry,15576
EDGARv7.0:ghg:AL:2011,EDGARv7.0:sector:Power Industry,31153
EDGARv7.0:ghg:DZ:1970,EDGARv7.0:sector:Power Industry,1649856
EDGARv7.0:ghg:DZ:1971,EDGARv7.0:sector:Power Industry,1649943
EDGARv7.0:ghg:DZ:1972,EDGARv7.0:sector:Power Industry,1553596
EDGARv7.0:ghg:DZ:1973,EDGARv7.0:sector:Power Industry,1224535
EDGARv7.0:ghg:DZ:1974,EDGARv7.0:sector:Power Industry,1468052
EDGARv7.0:ghg:DZ:1975,EDGARv7.0:sector:Power Industry,2116405
EDGARv7.0:ghg:DZ:1976,EDGARv7.0:sector:Power Industry,2536209
EDGARv7.0:ghg:DZ:1977,EDGARv7.0:sector:Power Industry,2825864
EDGARv7.0:ghg:DZ:1978,EDGARv7.0:sector:Power Industry,3306535
EDGARv7.0:ghg:DZ:1979,EDGARv7.0:sector:Power Industry,3670001
EDGARv7.0:ghg:DZ:1980,EDGARv7.0:sector:Power Industry,5134676
EDGARv7.0:ghg:DZ:1981,EDGARv7.0:sector:Power Industry,5323227
EDGARv7.0:ghg:DZ:1982,EDGARv7.0:sector:Power Industry,6931767
EDGARv7.0:ghg:DZ:1983,EDGARv7.0:sector:Power Industry,7871441
EDGARv7.0:ghg:DZ:1984,EDGARv7.0:sector:Power Industry,8129313
EDGARv7.0:ghg:DZ:1985,EDGARv7.0:sector:Power Industry,8610360
EDGARv7.0:ghg:DZ:1986,EDGARv7.0:sector:Power Industry,10266453
EDGARv7.0:ghg:DZ:1987,EDGARv7.0:sector:Power Industry,9456841
EDGARv7.0:ghg:DZ:1988,EDGARv7.0:sector:Power Industry,10419842
EDGARv7.0:ghg:DZ:1989,EDGARv7.0:sector:Power Industry,10413333
EDGARv7.0:ghg:DZ:1990,EDGARv7.0:sector:Power Industry,10242895
EDGARv7.0:ghg:DZ:1991,EDGARv7.0:sector:Power Industry,10612704
EDGARv7.0:ghg:DZ:1992,EDGARv7.0:sector:Power Industry,11048852
EDGARv7.0:ghg:DZ:1993,EDGARv7.0:sector:Power Industry,11547548
EDGARv7.0:ghg:DZ:1994,EDGARv7.0:sector:Power Industry,12367093
EDGARv7.0:ghg:DZ:1995,EDGARv7.0:sector:Power Industry,12568337
EDGARv7.0:ghg:DZ:1996,EDGARv7.0:sector:Power Industry,12632724
EDGARv7.0:ghg:DZ:1997,EDGARv7.0:sector:Power Industry,13371190
EDGARv7.0:ghg:DZ:1998,EDGARv7.0:sector:Power Industry,14978824
EDGARv7.0:ghg:DZ:1999,EDGARv7.0:sector:Power Industry,15633077
EDGARv7.0:ghg:DZ:2000,EDGARv7.0:sector:Power Industry,15863468
EDGARv7.0:ghg:DZ:2001,EDGARv7.0:sector:Power Industry,16651241
EDGARv7.0:ghg:DZ:2002,EDGARv7.0:sector:Power Industry,17583261
EDGARv7.0:ghg:DZ:2003,EDGARv7.0:sector:Power Industry,18817861
EDGARv7.0:ghg:DZ:2004,EDGARv7.0:sector:Power Industry,19877768
EDGARv7.0:ghg:DZ:2005,EDGARv7.0:sector:Power Industry,20693290
EDGARv7.0:ghg:DZ:2006,EDGARv7.0:sector:Power Industry,22046395
EDGARv7.0:ghg:DZ:2007,EDGARv7.0:sector:Power Industry,22371727
EDGARv7.0:ghg:DZ:2008,EDGARv7.0:sector:Power Industry,24166137
EDGARv7.0:ghg:DZ:2009,EDGARv7.0:sector:Power Industry,24717494
EDGARv7.0:ghg:DZ:2010,EDGARv7.0:sector:Power Industry,25138839
EDGARv7.0:ghg:DZ:2011,EDGARv7.0:sector:Power Industry,28179983
EDGARv7.0:ghg:DZ:2012,EDGARv7.0:sector:Power Industry,30994472
EDGARv7.0:ghg:DZ:2013,EDGARv7.0:sector:Power Industry,30157874
EDGARv7.0:ghg:DZ:2014,EDGARv7.0:sector:Power Industry,32698602
EDGARv7.0:ghg:DZ:2015,EDGARv7.0:sector:Power Industry,36851668
EDGARv7.0:ghg:DZ:2016,EDGARv7.0:sector:Power Industry,36237957
EDGARv7.0:ghg:DZ:2017,EDGARv7.0:sector:Power Industry,37806796
EDGARv7.0:ghg:DZ:2018,EDGARv7.0:sector:Power Industry,38705529
EDGARv7.0:ghg:DZ:2019,EDGARv7.0:sector:Power Industry,39514404
EDGARv7.0:ghg:DZ:2020,EDGARv7.0:sector:Power Industry,38186478
EDGARv7.0:ghg:DZ:2021,EDGARv7.0:sector:Power Industry,40117872
EDGARv7.0:ghg:AO:1970,EDGARv7.0:sector:Power Industry,138004
EDGARv7.0:ghg:AO:1971,EDGARv7.0:sector:Power Industry,138004
EDGARv7.0:ghg:AO:1972,EDGARv7.0:sector:Power Industry,159763
EDGARv7.0:ghg:AO:1973,EDGARv7.0:sector:Power Industry,169314
EDGARv7.0:ghg:AO:1974,EDGARv7.0:sector:Power Industry,372967
EDGARv7.0:ghg:AO:1975,EDGARv7.0:sector:Power Industry,354051
EDGARv7.0:ghg:AO:1976,EDGARv7.0:sector:Power Industry,347622
EDGARv7.0:ghg:AO:1977,EDGARv7.0:sector:Power Industry,347622
EDGARv7.0:ghg:AO:1978,EDGARv7.0:sector:Power Industry,347622
EDGARv7.0:ghg:AO:1979,EDGARv7.0:sector:Power Industry,388204
EDGARv7.0:ghg:AO:1980,EDGARv7.0:sector:Power Industry,401063
EDGARv7.0:ghg:AO:1981,EDGARv7.0:sector:Power Industry,401063
EDGARv7.0:ghg:AO:1982,EDGARv7.0:sector:Power Industry,423287
EDGARv7.0:ghg:AO:1983,EDGARv7.0:sector:Power Industry,460933
EDGARv7.0:ghg:AO:1984,EDGARv7.0:sector:Power Industry,117640
EDGARv7.0:ghg:AO:1985,EDGARv7.0:sector:Power Industry,161344
EDGARv7.0:ghg:AO:1986,EDGARv7.0:sector:Power Industry,205047
EDGARv7.0:ghg:AO:1987,EDGARv7.0:sector:Power Industry,173831
EDGARv7.0:ghg:AO:1988,EDGARv7.0:sector:Power Industry,261238
EDGARv7.0:ghg:AO:1989,EDGARv7.0:sector:Power Industry,245629
EDGARv7.0:ghg:AO:1990,EDGARv7.0:sector:Power Industry,292455
EDGARv7.0:ghg:AO:1991,EDGARv7.0:sector:Power Industry,245629
EDGARv7.0:ghg:AO:1992,EDGARv7.0:sector:Power Industry,173087
EDGARv7.0:ghg:AO:1993,EDGARv7.0:sector:Power Industry,125610
EDGARv7.0:ghg:AO:1994,EDGARv7.0:sector:Power Industry,175558
EDGARv7.0:ghg:AO:1995,EDGARv7.0:sector:Power Industry,172436
EDGARv7.0:ghg:AO:1996,EDGARv7.0:sector:Power Industry,197688
EDGARv7.0:ghg:AO:1997,EDGARv7.0:sector:Power Industry,417767
EDGARv7.0:ghg:AO:1998,EDGARv7.0:sector:Power Industry,386188
EDGARv7.0:ghg:AO:1999,EDGARv7.0:sector:Power Industry,622892
EDGARv7.0:ghg:AO:2000,EDGARv7.0:sector:Power Industry,730674
EDGARv7.0:ghg:AO:2001,EDGARv7.0:sector:Power Industry,823027
EDGARv7.0:ghg:AO:2002,EDGARv7.0:sector:Power Industry,823027
EDGARv7.0:ghg:AO:2003,EDGARv7.0:sector:Power Industry,1030463
EDGARv7.0:ghg:AO:2004,EDGARv7.0:sector:Power Industry,655157
EDGARv7.0:ghg:AO:2005,EDGARv7.0:sector:Power Industry,769631
EDGARv7.0:ghg:AO:2006,EDGARv7.0:sector:Power Industry,871429
EDGARv7.0:ghg:AO:2007,EDGARv7.0:sector:Power Industry,979567
EDGARv7.0:ghg:AO:2008,EDGARv7.0:sector:Power Industry,1389877
EDGARv7.0:ghg:AO:2009,EDGARv7.0:sector:Power Industry,2232736
EDGARv7.0:ghg:AO:2010,EDGARv7.0:sector:Power Industry,2375879
EDGARv7.0:ghg:AO:2011,EDGARv7.0:sector:Power Industry,2235956
EDGARv7.0:ghg:AO:2012,EDGARv7.0:sector:Power Industry,2707604
EDGARv7.0:ghg:AO:2013,EDGARv7.0:sector:Power Industry,4006299
EDGARv7.0:ghg:AO:2014,EDGARv7.0:sector:Power Industry,5687887
EDGARv7.0:ghg:AO:2015,EDGARv7.0:sector:Power Industry,6150710
EDGARv7.0:ghg:AO:2016,EDGARv7.0:sector:Power Industry,4211371
EDGARv7.0:ghg:AO:2017,EDGARv7.0:sector:Power Industry,4084371
EDGARv7.0:ghg:AO:2018,EDGARv7.0:sector:Power Industry,4029137
EDGARv7.0:ghg:AO:2019,EDGARv7.0:sector:Power Industry,4626057
EDGARv7.0:ghg:AO:2020,EDGARv7.0:sector:Power Industry,4317386
EDGARv7.0:ghg:AO:2021,EDGARv7.0:sector:Power Industry,4701935
EDGARv7.0:ghg:AI:1970,EDGARv7.0:sector:Power Industry,430
EDGARv7.0:ghg:AI:1971,EDGARv7.0:sector:Power Industry,430
EDGARv7.0:ghg:AI:1972,EDGARv7.0:sector:Power Industry,436
EDGARv7.0:ghg:AI:1973,EDGARv7.0:sector:Power Industry,439
EDGARv7.0:ghg:AI:1974,EDGARv7.0:sector:Power Industry,447
EDGARv7.0:ghg:AI:1975,EDGARv7.0:sector:Power Industry,480
EDGARv7.0:ghg:AI:1976,EDGARv7.0:sector:Power Industry,522
EDGARv7.0:ghg:AI:1977,EDGARv7.0:sector:Power Industry,450
EDGARv7.0:ghg:AI:1978,EDGARv7.0:sector:Power Industry,543
EDGARv7.0:ghg:AI:1979,EDGARv7.0:sector:Power Industry,662
EDGARv7.0:ghg:AI:1980,EDGARv7.0:sector:Power Industry,456
EDGARv7.0:ghg:AI:1981,EDGARv7.0:sector:Power Industry,452
EDGARv7.0:ghg:AI:1982,EDGARv7.0:sector:Power Industry,445
EDGARv7.0:ghg:AI:1983,EDGARv7.0:sector:Power Industry,417
EDGARv7.0:ghg:AI:1984,EDGARv7.0:sector:Power Industry,410
EDGARv7.0:ghg:AI:1985,EDGARv7.0:sector:Power Industry,403
EDGARv7.0:ghg:AI:1986,EDGARv7.0:sector:Power Industry,445
EDGARv7.0:ghg:AI:1987,EDGARv7.0:sector:Power Industry,464
EDGARv7.0:ghg:AI:1988,EDGARv7.0:sector:Power Industry,360
EDGARv7.0:ghg:AI:1989,EDGARv7.0:sector:Power Industry,374
EDGARv7.0:ghg:AI:1990,EDGARv7.0:sector:Power Industry,402
EDGARv7.0:ghg:AI:1991,EDGARv7.0:sector:Power Industry,420
EDGARv7.0:ghg:AI:1992,EDGARv7.0:sector:Power Industry,443
EDGARv7.0:ghg:AI:1993,EDGARv7.0:sector:Power Industry,444
EDGARv7.0:ghg:AI:1994,EDGARv7.0:sector:Power Industry,456
EDGARv7.0:ghg:AI:1995,EDGARv7.0:sector:Power Industry,461
EDGARv7.0:ghg:AI:1996,EDGARv7.0:sector:Power Industry,498
EDGARv7.0:ghg:AI:1997,EDGARv7.0:sector:Power Industry,460
EDGARv7.0:ghg:AI:1998,EDGARv7.0:sector:Power Industry,574
EDGARv7.0:ghg:AI:1999,EDGARv7.0:sector:Power Industry,491
EDGARv7.0:ghg:AI:2000,EDGARv7.0:sector:Power Industry,649
EDGARv7.0:ghg:AI:2001,EDGARv7.0:sector:Power Industry,731
EDGARv7.0:ghg:AI:2002,EDGARv7.0:sector:Power Industry,722
EDGARv7.0:ghg:AI:2003,EDGARv7.0:sector:Power Industry,752
EDGARv7.0:ghg:AI:2004,EDGARv7.0:sector:Power Industry,754
EDGARv7.0:ghg:AI:2005,EDGARv7.0:sector:Power Industry,746
EDGARv7.0:ghg:AI:2006,EDGARv7.0:sector:Power Industry,737
EDGARv7.0:ghg:AI:2007,EDGARv7.0:sector:Power Industry,761
EDGARv7.0:ghg:AI:2008,EDGARv7.0:sector:Power Industry,778
EDGARv7.0:ghg:AI:2009,EDGARv7.0:sector:Power Industry,779
EDGARv7.0:ghg:AI:2010,EDGARv7.0:sector:Power Industry,791
EDGARv7.0:ghg:AI:2011,EDGARv7.0:sector:Power Industry,911
EDGARv7.0:ghg:AI:2012,EDGARv7.0:sector:Power Industry,911
EDGARv7.0:ghg:AI:2013,EDGARv7.0:sector:Power Industry,979
EDGARv7.0:ghg:AI:2014,EDGARv7.0:sector:Power Industry,977
EDGARv7.0:ghg:AI:2015,EDGARv7.0:sector:Power Industry,981
EDGARv7.0:ghg:AI:2016,EDGARv7.0:sector:Power Industry,1019
EDGARv7.0:ghg:AI:2017,EDGARv7.0:sector:Power Industry,1057
EDGARv7.0:ghg:AI:2018,EDGARv7.0:sector:Power Industry,1027
EDGARv7.0:ghg:AI:2019,EDGARv7.0:sector:Power Industry,1034
EDGARv7.0:ghg:AI:2020,EDGARv7.0:sector:Power Industry,871
EDGARv7.0:ghg:AI:2021,EDGARv7.0:sector:Power Industry,1000
EDGARv7.0:ghg:AG:1970,EDGARv7.0:sector:Power Industry,143454
EDGARv7.0:ghg:AG:1971,EDGARv7.0:sector:Power Industry,143454
EDGARv7.0:ghg:AG:1972,EDGARv7.0:sector:Power Industry,141189
EDGARv7.0:ghg:AG:1973,EDGARv7.0:sector:Power Industry,159133
EDGARv7.0:ghg:AG:1974,EDGARv7.0:sector:Power Industry,141735
EDGARv7.0:ghg:AG:1975,EDGARv7.0:sector:Power Industry,176388
EDGARv7.0:ghg:AG:1976,EDGARv7.0:sector:Power Industry,189009
EDGARv7.0:ghg:AG:1977,EDGARv7.0:sector:Power Industry,195425
