actor_id,lat,lng,datasource_id
AR ABA,-349667,-580833,UNLOCODE:2023-2
AR ACA,-274667,-551167,UNLOCODE:2023-2
AR ACS,-344833,-585167,UNLOCODE:2023-2
AR AVD,-337333,-604500,UNLOCODE:2023-2
AR AC5,-271167,-654500,UNLOCODE:2023-2
AR AMA,-336167,-640333,UNLOCODE:2023-2
AR GEO,-331167,-688833,UNLOCODE:2023-2
AR AGS,-274333,-656167,UNLOCODE:2023-2
AR AIM,-287167,-668167,UNLOCODE:2023-2
AR ALN,-314333,-685167,UNLOCODE:2023-2
AR ALI,-350333,-602833,UNLOCODE:2023-2
AR AEA,-431333,-715500,UNLOCODE:2023-2
AR ADS,-268167,-651333,UNLOCODE:2023-2
AR ALL,-389833,-678167,UNLOCODE:2023-2
AR ALE,-322000,-642500,UNLOCODE:2023-2
AR ALS,-339000,-593833,UNLOCODE:2023-2
AR ASL,-315167,-684167,UNLOCODE:2023-2
AR ARR,-450333,-708333,UNLOCODE:2023-2
AR LTV,-331500,-673500,UNLOCODE:2023-2
AR ALZ,-331167,-608000,UNLOCODE:2023-2
AR AVR,-336667,-606167,UNLOCODE:2023-2
AR ANA,-284667,-628333,UNLOCODE:2023-2
AR ANC,-355667,-618500,UNLOCODE:2023-2
AR ADC,-371833,-706833,UNLOCODE:2023-2
AR AND,-276000,-663167,UNLOCODE:2023-2
AR ALO,-383500,-687833,UNLOCODE:2023-2
AR ANO,-312167,-680333,UNLOCODE:2023-2
AR ASA,-244167,-640333,UNLOCODE:2023-2
AR APO,-279167,-557667,UNLOCODE:2023-2
AR ARN,-322333,-601500,UNLOCODE:2023-2
AR ARI,-336333,-624167,UNLOCODE:2023-2
AR AVO,-271167,-549167,UNLOCODE:2023-2
AR ARG,-327667,-616000,UNLOCODE:2023-2
AR ACF,-340833,-601167,UNLOCODE:2023-2
AR AYO,-314167,-630500,UNLOCODE:2023-2
AR ASO,-331333,-604333,UNLOCODE:2023-2
AR AST,-361667,-618833,UNLOCODE:2023-2
AR AVE,-346500,-583667,UNLOCODE:2023-2
AR AVS,-291000,-596500,UNLOCODE:2023-2
AR AZU,-367833,-598667,UNLOCODE:2023-2
AR BHI,-387167,-622833,UNLOCODE:2023-2
AR BSB,-405500,-622500,UNLOCODE:2023-2
AR BAJ,-305667,-661500,UNLOCODE:2023-2
AR BHO,-387667,-619000,UNLOCODE:2023-2
AR BCA,-378333,-582500,UNLOCODE:2023-2
AR BES,-325333,-629667,UNLOCODE:2023-2
AR BDR,-268333,-651667,UNLOCODE:2023-2
AR BAD,-347500,-584000,UNLOCODE:2023-2
AR BAR,-337833,-595167,UNLOCODE:2023-2
AR BAS,-340000,-687167,UNLOCODE:2023-2
AR BAL,-316333,-694667,UNLOCODE:2023-2
AR BTN,-380000,-577000,UNLOCODE:2023-2
AR BMS,-313833,-641667,UNLOCODE:2023-2
AR BEC,-347667,-589000,UNLOCODE:2023-2
AR BDE,-343333,-588167,UNLOCODE:2023-2
AR BVL,-326167,-627000,UNLOCODE:2023-2
AR BEL,-345500,-586833,UNLOCODE:2023-2
AR BVA,-270333,-653000,UNLOCODE:2023-2
AR BVC,-285000,-590500,UNLOCODE:2023-2
AR BVZ,-344000,-587000,UNLOCODE:2023-2
AR BEA,-330333,-636833,UNLOCODE:2023-2
AR BJR,-376667,-598000,UNLOCODE:2023-2
AR BER,-347333,-582500,UNLOCODE:2023-2
AR BRN,-347167,-382500,UNLOCODE:2023-2
AR BOL,-334500,-613333,UNLOCODE:2023-2
AR BOU,-345000,-585667,UNLOCODE:2023-2
AR BON,-350000,-675167,UNLOCODE:2023-2
AR BGO,-351167,-605000,UNLOCODE:2023-2
AR BRD,-351667,-582333,UNLOCODE:2023-2
AR BUE,-345833,-586667,UNLOCODE:2023-2
AR BUU,-265000,-647500,UNLOCODE:2023-2
AR BUR,-348167,-348167,UNLOCODE:2023-2
AR CAB,-346167,-584500,UNLOCODE:2023-2
AR CSA,-360333,-565667,UNLOCODE:2023-2
AR CFY,-260667,-659667,UNLOCODE:2023-2
AR CAS,-315000,-581333,UNLOCODE:2023-2
AR CLC,-457333,-670667,UNLOCODE:2023-2
AR CMP,-341500,-589500,UNLOCODE:2023-2
AR CGO,-272167,-549667,UNLOCODE:2023-2
AR CLO,-268000,-608333,UNLOCODE:2023-2
AR CQO,-249167,-656500,UNLOCODE:2023-2
AR CRO,-274667,-550000,UNLOCODE:2023-2
AR MPO,-342833,-602333,UNLOCODE:2023-2
AR CSO,-246667,-651000,UNLOCODE:2023-2
AR CVO,-273833,-550333,UNLOCODE:2023-2
AR CGA,-328167,-614000,UNLOCODE:2023-2
AR CRL,-320500,-616000,UNLOCODE:2023-2
AR CNL,-335500,-628833,UNLOCODE:2023-2
AR CDL,-274500,-557500,UNLOCODE:2023-2
AR CNN,-348667,-585167,UNLOCODE:2023-2
AR CAE,-350333,-587333,UNLOCODE:2023-2
AR CDS,-343000,-591000,UNLOCODE:2023-2
AR CBZ,-328167,-607167,UNLOCODE:2023-2
AR CSN,-341667,-598000,UNLOCODE:2023-2
AR CAA,-328500,-611500,UNLOCODE:2023-2
AR CCB,-356167,-613500,UNLOCODE:2023-2
AR CAN,-343833,-598167,UNLOCODE:2023-2
AR CDN,-332333,-608000,UNLOCODE:2023-2
AR CAO,-329167,-640333,UNLOCODE:2023-2
AR ORE,-346167,-585333,UNLOCODE:2023-2
AR CSL,-330500,-611667,UNLOCODE:2023-2
AR CTL,-346500,-586333,UNLOCODE:2023-2
AR CAT,-296667,-673833,UNLOCODE:2023-2
AR CTO,-364000,-634167,UNLOCODE:2023-2
AR CUE,-316500,-682833,UNLOCODE:2023-2
