target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,summary,datasource_id,initiative_id
SBTi:213800EJP14A79ZG1X44:2030,213800EJP14A79ZG1X44,Absolute emission reduction,2007,2030,80,percent,Marks & Spencer reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800EJP14A79ZG1X44:2035,213800EJP14A79ZG1X44,Absolute emission reduction,2007,2035,90,percent,Marks & Spencer reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800EKD193RVI9HL76:2025,213800EKD193RVI9HL76,Absolute emission reduction,2019,2025,90,percent,Tele2 AB reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800EKD193RVI9HL76:2029,213800EKD193RVI9HL76,Absolute emission reduction,2019,2029,100,percent,Tele2 AB reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800EKD193RVI9HL76:2035,213800EKD193RVI9HL76,Net zero,,2035,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800F4541KT2KTVC78:2030,213800F4541KT2KTVC78,Absolute emission reduction,2018,2030,50,percent,CHANEL reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800FERQ5LE3H7WJ58:2030,213800FERQ5LE3H7WJ58,Absolute emission reduction,2019,2030,46,percent,Dentsu International reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800FERQ5LE3H7WJ58:2040,213800FERQ5LE3H7WJ58,Net zero,,2040,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800FSR9RNDUOTXO25:2025,213800FSR9RNDUOTXO25,Absolute emission reduction,2018,2025,50,percent,Telia Company AB reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800JMEDD2Q4N1MC42:2030,213800JMEDD2Q4N1MC42,Absolute emission reduction,2018,2030,50,percent,Great Portland Estates plc reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800JY7VJFS2OOX355:2030,213800JY7VJFS2OOX355,Absolute emission reduction,2020,2030,25,percent,Hilton Food Group reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800JY7VJFS2OOX355:2030,213800JY7VJFS2OOX355,Absolute emission reduction,2020,2030,12,percent,Hilton Food Group reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800KBMEV7I92FY281:2025,213800KBMEV7I92FY281,Absolute emission reduction,2016,2025,37,percent,Kingfisher reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800N42YZLR9GLVC42:2040,213800N42YZLR9GLVC42,Net zero,,2040,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800N7LHKFNTDKAT98:2030,213800N7LHKFNTDKAT98,Absolute emission reduction,2018,2030,50,percent,Shaftesbury PLC reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
