actor_id,target_year,percent_achieved,target_type,baseline_year,target_id,target_value,target_unit,datasource_id
AR SAO,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR SAO:2030:2030,20,percent,CDPCitiesTargets:2021
AR SJO,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR SJO:2030:2030,18,percent,CDPCitiesTargets:2021
AR VNT,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:AR VNT:2030:2030,25,percent,CDPCitiesTargets:2021
AU ADL,2020,61,Absolute emission reduction,2007,CDPCitiesTargets:2021:AU ADL:2007:2020,35,percent,CDPCitiesTargets:2021
AU SYD,2030,31,Absolute emission reduction,2006,CDPCitiesTargets:2021:AU SYD:2006:2030,70,percent,CDPCitiesTargets:2021
BD DAC,2050,100,Absolute emission reduction,2018,CDPCitiesTargets:2021:BD DAC:2018:2050,100,percent,CDPCitiesTargets:2021
BE CRL,2030,0,Absolute emission reduction,2006,CDPCitiesTargets:2021:BE CRL:2006:2030,40,percent,CDPCitiesTargets:2021
BG SOF,2030,18,Absolute emission reduction,2007,CDPCitiesTargets:2021:BG SOF:2007:2030,40,percent,CDPCitiesTargets:2021
BR BHZ,2030,23,Absolute emission reduction,2030,CDPCitiesTargets:2021:BR BHZ:2030:2030,20,percent,CDPCitiesTargets:2021
BR CPS,2025,0,Absolute emission reduction,2016,CDPCitiesTargets:2021:BR CPS:2016:2025,5,percent,CDPCitiesTargets:2021
BR CPS,2030,0,Absolute emission reduction,2016,CDPCitiesTargets:2021:BR CPS:2016:2030,8,percent,CDPCitiesTargets:2021
BR CPS,2040,0,Absolute emission reduction,2016,CDPCitiesTargets:2021:BR CPS:2016:2040,16,percent,CDPCitiesTargets:2021
BR CPS,2060,0,Absolute emission reduction,2016,CDPCitiesTargets:2021:BR CPS:2016:2060,32,percent,CDPCitiesTargets:2021
BR CWB,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:BR CWB:2030:2030,59,percent,CDPCitiesTargets:2021
BR CWB,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:BR CWB:2030:2030,23,percent,CDPCitiesTargets:2021
BR CWB,2050,0,Relative emission reduction,2050,CDPCitiesTargets:2021:BR CWB:2050:2050,100,percent,CDPCitiesTargets:2021
BR FLN,2020,0,Absolute emission reduction,2013,CDPCitiesTargets:2021:BR FLN:2013:2020,42,percent,CDPCitiesTargets:2021
BR FOR,2030,12,Absolute emission reduction,2014,CDPCitiesTargets:2021:BR FOR:2014:2030,30,percent,CDPCitiesTargets:2021
BR RIO,2024,0,Absolute emission reduction,2017,CDPCitiesTargets:2021:BR RIO:2017:2024,5,percent,CDPCitiesTargets:2021
BR RIO,2030,0,Absolute emission reduction,2017,CDPCitiesTargets:2021:BR RIO:2017:2030,20,percent,CDPCitiesTargets:2021
BR SME,2030,0,Absolute emission reduction,2016,CDPCitiesTargets:2021:BR SME:2016:2030,7,percent,CDPCitiesTargets:2021
BR SME,2030,0,Absolute emission reduction,2016,CDPCitiesTargets:2021:BR SME:2016:2030,11,percent,CDPCitiesTargets:2021
BR SME,2030,0,Absolute emission reduction,2016,CDPCitiesTargets:2021:BR SME:2016:2030,7,percent,CDPCitiesTargets:2021
BR SOR,2030,100,Carbon intensity reduction,2012,CDPCitiesTargets:2021:BR SOR:2012:2030,20,percent,CDPCitiesTargets:2021
BR SSA,2024,0,Absolute emission reduction,2018,CDPCitiesTargets:2021:BR SSA:2018:2024,15,percent,CDPCitiesTargets:2021
BR SSA,2032,0,Absolute emission reduction,2018,CDPCitiesTargets:2021:BR SSA:2018:2032,25,percent,CDPCitiesTargets:2021
BR STD,2030,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:BR STD:2019:2030,20,percent,CDPCitiesTargets:2021
CH BRN,2025,14,Absolute emission reduction,2008,CDPCitiesTargets:2021:CH BRN:2008:2025,30,percent,CDPCitiesTargets:2021
CH ZRH,2020,100,Carbon intensity reduction,2005,CDPCitiesTargets:2021:CH ZRH:2005:2020,28,percent,CDPCitiesTargets:2021
CH ZRH,2035,46,Carbon intensity reduction,2005,CDPCitiesTargets:2021:CH ZRH:2005:2035,64,percent,CDPCitiesTargets:2021
CH ZRH,2050,36,Carbon intensity reduction,2005,CDPCitiesTargets:2021:CH ZRH:2005:2050,82,percent,CDPCitiesTargets:2021
CI COD,2030,28,Absolute emission reduction,2016,CDPCitiesTargets:2021:CI COD:2016:2030,50,percent,CDPCitiesTargets:2021
CL IND,2030,0,Absolute emission reduction,2018,CDPCitiesTargets:2021:CL IND:2018:2030,30,percent,CDPCitiesTargets:2021
CL PRO,2030,0,Carbon intensity reduction,2014,CDPCitiesTargets:2021:CL PRO:2014:2030,50,percent,CDPCitiesTargets:2021
CL ZAL,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:CL ZAL:2030:2030,15,percent,CDPCitiesTargets:2021
CO BOG,2024,0,Relative emission reduction,2024,CDPCitiesTargets:2021:CO BOG:2024:2024,15,percent,CDPCitiesTargets:2021
CO CTG,2050,0,Relative emission reduction,2050,CDPCitiesTargets:2021:CO CTG:2050:2050,15,percent,CDPCitiesTargets:2021
CO ENV,2023,20,Relative emission reduction,2023,CDPCitiesTargets:2021:CO ENV:2023:2023,20,percent,CDPCitiesTargets:2021
CO ENV,2050,20,Relative emission reduction,2050,CDPCitiesTargets:2021:CO ENV:2050:2050,20,percent,CDPCitiesTargets:2021
CO ENV,2050,2,Relative emission reduction,2050,CDPCitiesTargets:2021:CO ENV:2050:2050,20,percent,CDPCitiesTargets:2021
CO ENV,2050,12,Relative emission reduction,2050,CDPCitiesTargets:2021:CO ENV:2050:2050,20,percent,CDPCitiesTargets:2021
CO ENV,2050,9,Relative emission reduction,2050,CDPCitiesTargets:2021:CO ENV:2050:2050,20,percent,CDPCitiesTargets:2021
CO MDE,2050,3,Relative emission reduction,2050,CDPCitiesTargets:2021:CO MDE:2050:2050,100,percent,CDPCitiesTargets:2021
CR BLN,2021,0,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR BLN:2017:2021,1,percent,CDPCitiesTargets:2021
CR BLN,2021,0,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR BLN:2017:2021,5,percent,CDPCitiesTargets:2021
CR BLN,2021,0,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR BLN:2017:2021,10,percent,CDPCitiesTargets:2021
CR BLN,2021,0,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR BLN:2017:2021,30,percent,CDPCitiesTargets:2021
CR BLN,2021,0,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR BLN:2017:2021,5,percent,CDPCitiesTargets:2021
CR CAS,2023,0,Absolute emission reduction,2018,CDPCitiesTargets:2021:CR CAS:2018:2023,9,percent,CDPCitiesTargets:2021
CR CAS,2023,0,Absolute emission reduction,2018,CDPCitiesTargets:2021:CR CAS:2018:2023,1,percent,CDPCitiesTargets:2021
CR CAS,2023,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:CR CAS:2019:2023,1,percent,CDPCitiesTargets:2021
CR DE2,2021,75,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR DE2:2017:2021,1,percent,CDPCitiesTargets:2021
CR DE2,2022,90,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR DE2:2017:2022,1,percent,CDPCitiesTargets:2021
CR DE2,2025,30,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR DE2:2017:2025,1,percent,CDPCitiesTargets:2021
CR QPS,2025,0,Absolute emission reduction,2018,CDPCitiesTargets:2021:CR QPS:2018:2025,0,percent,CDPCitiesTargets:2021
CR QPS,2025,0,Absolute emission reduction,2018,CDPCitiesTargets:2021:CR QPS:2018:2025,1,percent,CDPCitiesTargets:2021
CR QPS,2025,0,Absolute emission reduction,2018,CDPCitiesTargets:2021:CR QPS:2018:2025,0,percent,CDPCitiesTargets:2021
CR SJO,2025,5,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR SJO:2017:2025,1,percent,CDPCitiesTargets:2021
CR SJO,2025,100,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR SJO:2017:2025,1,percent,CDPCitiesTargets:2021
CR SJO,2025,15,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR SJO:2017:2025,1,percent,CDPCitiesTargets:2021
CR SJO,2025,25,Absolute emission reduction,2017,CDPCitiesTargets:2021:CR SJO:2017:2025,2,percent,CDPCitiesTargets:2021
CR SJO,2025,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:CR SJO:2019:2025,1,percent,CDPCitiesTargets:2021
DE BER,2020,87,Absolute emission reduction,1990,CDPCitiesTargets:2021:DE BER:1990:2020,40,percent,CDPCitiesTargets:2021
DE BER,2030,58,Absolute emission reduction,1990,CDPCitiesTargets:2021:DE BER:1990:2030,60,percent,CDPCitiesTargets:2021
DE BER,2050,37,Absolute emission reduction,1990,CDPCitiesTargets:2021:DE BER:1990:2050,95,percent,CDPCitiesTargets:2021
DE BER,2050,41,Absolute emission reduction,1990,CDPCitiesTargets:2021:DE BER:1990:2050,85,percent,CDPCitiesTargets:2021
DE HEI,2050,0,Absolute emission reduction,2010,CDPCitiesTargets:2021:DE HEI:2010:2050,95,percent,CDPCitiesTargets:2021
DE MHG,2030,50,Absolute emission reduction,1990,CDPCitiesTargets:2021:DE MHG:1990:2030,55,percent,CDPCitiesTargets:2021
DE RSK,2035,58,Absolute emission reduction,1990,CDPCitiesTargets:2021:DE RSK:1990:2035,100,percent,CDPCitiesTargets:2021
DK FRE,2020,100,Absolute emission reduction,2010,CDPCitiesTargets:2021:DK FRE:2010:2020,25,percent,CDPCitiesTargets:2021
DK FRE,2030,25,Absolute emission reduction,1990,CDPCitiesTargets:2021:DK FRE:1990:2030,70,percent,CDPCitiesTargets:2021
DK FRE,2035,0,Absolute emission reduction,2010,CDPCitiesTargets:2021:DK FRE:2010:2035,100,percent,CDPCitiesTargets:2021
DK FRE,2050,0,Absolute emission reduction,2010,CDPCitiesTargets:2021:DK FRE:2010:2050,100,percent,CDPCitiesTargets:2021
DK GLX,2030,40,Absolute emission reduction,2007,CDPCitiesTargets:2021:DK GLX:2007:2030,70,percent,CDPCitiesTargets:2021
DK HLS,2030,100,Absolute emission reduction,2008,CDPCitiesTargets:2021:DK HLS:2008:2030,40,percent,CDPCitiesTargets:2021
DK HLS,2030,69,Absolute emission reduction,2008,CDPCitiesTargets:2021:DK HLS:2008:2030,75,percent,CDPCitiesTargets:2021
DK HLS,2045,51,Absolute emission reduction,2008,CDPCitiesTargets:2021:DK HLS:2008:2045,100,percent,CDPCitiesTargets:2021
DK MID,2030,0,Absolute emission reduction,2010,CDPCitiesTargets:2021:DK MID:2010:2030,70,percent,CDPCitiesTargets:2021
DK RKE,2020,29,Absolute emission reduction,2008,CDPCitiesTargets:2021:DK RKE:2008:2020,35,percent,CDPCitiesTargets:2021
EC CUE,2023,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:EC CUE:2019:2023,20,percent,CDPCitiesTargets:2021
EC CUE,2023,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:EC CUE:2019:2023,20,percent,CDPCitiesTargets:2021
EC PVO,2035,25,Absolute emission reduction,2017,CDPCitiesTargets:2021:EC PVO:2017:2035,70,percent,CDPCitiesTargets:2021
EC UIO,2030,15,Relative emission reduction,2030,CDPCitiesTargets:2021:EC UIO:2030:2030,30,percent,CDPCitiesTargets:2021
ES BCN,2020,50,Absolute emission reduction,2007,CDPCitiesTargets:2021:ES BCN:2007:2020,27,percent,CDPCitiesTargets:2021
ES BCN,2020,100,Absolute emission reduction,2008,CDPCitiesTargets:2021:ES BCN:2008:2020,1,percent,CDPCitiesTargets:2021
ES BCN,2020,5,Absolute emission reduction,2008,CDPCitiesTargets:2021:ES BCN:2008:2020,74,percent,CDPCitiesTargets:2021
ES BCN,2030,50,Absolute emission reduction,1992,CDPCitiesTargets:2021:ES BCN:1992:2030,50,percent,CDPCitiesTargets:2021
ES BCN,2030,3,Absolute emission reduction,2017,CDPCitiesTargets:2021:ES BCN:2017:2030,49,percent,CDPCitiesTargets:2021
ES BCN,2030,0,Absolute emission reduction,2017,CDPCitiesTargets:2021:ES BCN:2017:2030,71,percent,CDPCitiesTargets:2021
ES BCN,2050,25,Absolute emission reduction,1992,CDPCitiesTargets:2021:ES BCN:1992:2050,100,percent,CDPCitiesTargets:2021
ES MAD,2030,0,Absolute emission reduction,1990,CDPCitiesTargets:2021:ES MAD:1990:2030,65,percent,CDPCitiesTargets:2021
ES MJV,2020,21,Absolute emission reduction,2007,CDPCitiesTargets:2021:ES MJV:2007:2020,20,percent,CDPCitiesTargets:2021
ES VIT,2020,100,Absolute emission reduction,2006,CDPCitiesTargets:2021:ES VIT:2006:2020,56,percent,CDPCitiesTargets:2021
ES VIT,2020,83,Absolute emission reduction,2006,CDPCitiesTargets:2021:ES VIT:2006:2020,34,percent,CDPCitiesTargets:2021
ES VIT,2020,100,Absolute emission reduction,2006,CDPCitiesTargets:2021:ES VIT:2006:2020,28,percent,CDPCitiesTargets:2021
ES VIT,2020,100,Absolute emission reduction,2006,CDPCitiesTargets:2021:ES VIT:2006:2020,11,percent,CDPCitiesTargets:2021
ES VIT,2020,87,Absolute emission reduction,2006,CDPCitiesTargets:2021:ES VIT:2006:2020,26,percent,CDPCitiesTargets:2021
ES ZAZ,2030,20,Absolute emission reduction,2005,CDPCitiesTargets:2021:ES ZAZ:2005:2030,55,percent,CDPCitiesTargets:2021
ET ADD,2050,0,Absolute emission reduction,2016,CDPCitiesTargets:2021:ET ADD:2016:2050,100,percent,CDPCitiesTargets:2021
FI ES2,2030,18,Absolute emission reduction,1990,CDPCitiesTargets:2021:FI ES2:1990:2030,100,percent,CDPCitiesTargets:2021
FR NCE,2026,30,Absolute emission reduction,2012,CDPCitiesTargets:2021:FR NCE:2012:2026,22,percent,CDPCitiesTargets:2021
FR NCE,2030,50,Absolute emission reduction,1990,CDPCitiesTargets:2021:FR NCE:1990:2030,40,percent,CDPCitiesTargets:2021
FR NCE,2030,22,Absolute emission reduction,2012,CDPCitiesTargets:2021:FR NCE:2012:2030,30,percent,CDPCitiesTargets:2021
FR NCE,2050,9,Absolute emission reduction,2012,CDPCitiesTargets:2021:FR NCE:2012:2050,75,percent,CDPCitiesTargets:2021
FR PAR,2050,25,Absolute emission reduction,2004,CDPCitiesTargets:2021:FR PAR:2004:2050,100,percent,CDPCitiesTargets:2021
FR URO,2050,11,Absolute emission reduction,2005,CDPCitiesTargets:2021:FR URO:2005:2050,84,percent,CDPCitiesTargets:2021
FR URO,2050,50,Absolute emission reduction,2005,CDPCitiesTargets:2021:FR URO:2005:2050,86,percent,CDPCitiesTargets:2021
GB BOH,2050,4,Absolute emission reduction,2017,CDPCitiesTargets:2021:GB BOH:2017:2050,100,percent,CDPCitiesTargets:2021
GB BRS,2020,57,Absolute emission reduction,2005,CDPCitiesTargets:2021:GB BRS:2005:2020,40,percent,CDPCitiesTargets:2021
GB CDF,2020,48,Absolute emission reduction,2005,CDPCitiesTargets:2021:GB CDF:2005:2020,26,percent,CDPCitiesTargets:2021
GB GLW,2030,31,Absolute emission reduction,2006,CDPCitiesTargets:2021:GB GLW:2006:2030,100,percent,CDPCitiesTargets:2021
GB MNC,2038,17,Absolute emission reduction,1990,CDPCitiesTargets:2021:GB MNC:1990:2038,97,percent,CDPCitiesTargets:2021
GB NTG,2020,100,Carbon intensity reduction,2005,CDPCitiesTargets:2021:GB NTG:2005:2020,26,percent,CDPCitiesTargets:2021
GB SAA,2020,73,Absolute emission reduction,2013,CDPCitiesTargets:2021:GB SAA:2013:2020,35,percent,CDPCitiesTargets:2021
GB SAA,2050,42,Absolute emission reduction,2005,CDPCitiesTargets:2021:GB SAA:2005:2050,100,percent,CDPCitiesTargets:2021
GB SUN,2020,94,Absolute emission reduction,2015,CDPCitiesTargets:2021:GB SUN:2015:2020,16,percent,CDPCitiesTargets:2021
GB SUN,2025,21,Absolute emission reduction,2015,CDPCitiesTargets:2021:GB SUN:2015:2025,62,percent,CDPCitiesTargets:2021
GB SUN,2030,18,Absolute emission reduction,2015,CDPCitiesTargets:2021:GB SUN:2015:2030,82,percent,CDPCitiesTargets:2021
GB SUN,2035,17,Absolute emission reduction,2015,CDPCitiesTargets:2021:GB SUN:2015:2035,92,percent,CDPCitiesTargets:2021
GB SUN,2040,16,Absolute emission reduction,2015,CDPCitiesTargets:2021:GB SUN:2015:2040,96,percent,CDPCitiesTargets:2021
GB SUN,2045,15,Absolute emission reduction,2015,CDPCitiesTargets:2021:GB SUN:2015:2045,98,percent,CDPCitiesTargets:2021
GB SUN,2050,15,Absolute emission reduction,2015,CDPCitiesTargets:2021:GB SUN:2015:2050,99,percent,CDPCitiesTargets:2021
GB WNE,2030,0,Absolute emission reduction,2005,CDPCitiesTargets:2021:GB WNE:2005:2030,100,percent,CDPCitiesTargets:2021
GH ACC,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:GH ACC:2030:2030,27,percent,CDPCitiesTargets:2021
HK HKG,2020,72,Carbon intensity reduction,2005,CDPCitiesTargets:2021:HK HKG:2005:2020,50,percent,CDPCitiesTargets:2021
HK HKG,2030,55,Carbon intensity reduction,2005,CDPCitiesTargets:2021:HK HKG:2005:2030,65,percent,CDPCitiesTargets:2021
HR ZAG,2030,52,Absolute emission reduction,2008,CDPCitiesTargets:2021:HR ZAG:2008:2030,40,percent,CDPCitiesTargets:2021
ID BOG,2030,35,Absolute emission reduction,2010,CDPCitiesTargets:2021:ID BOG:2010:2030,35,percent,CDPCitiesTargets:2021
ID BPN,2020,40,Relative emission reduction,2020,CDPCitiesTargets:2021:ID BPN:2020:2020,19,percent,CDPCitiesTargets:2021
ID BTR,2020,9,Relative emission reduction,2020,CDPCitiesTargets:2021:ID BTR:2020:2020,11,percent,CDPCitiesTargets:2021
ID MLG,2030,40,Relative emission reduction,2030,CDPCitiesTargets:2021:ID MLG:2030:2030,20,percent,CDPCitiesTargets:2021
ID SRG,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:ID SRG:2030:2030,3,percent,CDPCitiesTargets:2021
ID SUK,2025,100,Absolute emission reduction,2015,CDPCitiesTargets:2021:ID SUK:2015:2025,75,percent,CDPCitiesTargets:2021
ID TRG,2023,20,Relative emission reduction,2023,CDPCitiesTargets:2021:ID TRG:2023:2023,23,percent,CDPCitiesTargets:2021
IN RAJ,2022,0,Absolute emission reduction,2015,CDPCitiesTargets:2021:IN RAJ:2015:2022,14,percent,CDPCitiesTargets:2021
IN STV,2030,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:IN STV:2019:2030,40,percent,CDPCitiesTargets:2021
IN STV,2030,10,Absolute emission reduction,2019,CDPCitiesTargets:2021:IN STV:2019:2030,40,percent,CDPCitiesTargets:2021
IN STV,2030,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:IN STV:2019:2030,40,percent,CDPCitiesTargets:2021
IS REY,2030,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:IS REY:2019:2030,100,percent,CDPCitiesTargets:2021
IS REY,2030,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:IS REY:2019:2030,55,percent,CDPCitiesTargets:2021
IS REY,2030,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:IS REY:2019:2030,50,percent,CDPCitiesTargets:2021
IS REY,2030,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:IS REY:2019:2030,100,percent,CDPCitiesTargets:2021
IT ASI,2030,44,Absolute emission reduction,2008,CDPCitiesTargets:2021:IT ASI:2008:2030,40,percent,CDPCitiesTargets:2021
IT BLQ,2030,48,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT BLQ:2005:2030,44,percent,CDPCitiesTargets:2021
IT BZO,2030,7,Absolute emission reduction,2010,CDPCitiesTargets:2021:IT BZO:2010:2030,41,percent,CDPCitiesTargets:2021
IT FLR,2020,100,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT FLR:2005:2020,21,percent,CDPCitiesTargets:2021
IT FLR,2020,100,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT FLR:2005:2020,21,percent,CDPCitiesTargets:2021
IT FLR,2030,70,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT FLR:2005:2030,60,percent,CDPCitiesTargets:2021
IT FLR,2030,70,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT FLR:2005:2030,60,percent,CDPCitiesTargets:2021
IT FLR,2030,1,Absolute emission reduction,2018,CDPCitiesTargets:2021:IT FLR:2018:2030,9,percent,CDPCitiesTargets:2021
IT FLR,2030,1,Absolute emission reduction,2018,CDPCitiesTargets:2021:IT FLR:2018:2030,9,percent,CDPCitiesTargets:2021
IT FLR,2050,45,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT FLR:2005:2050,80,percent,CDPCitiesTargets:2021
IT FLR,2050,45,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT FLR:2005:2050,80,percent,CDPCitiesTargets:2021
IT FRR,2030,22,Absolute emission reduction,2007,CDPCitiesTargets:2021:IT FRR:2007:2030,42,percent,CDPCitiesTargets:2021
IT GOA,2030,23,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT GOA:2005:2030,40,percent,CDPCitiesTargets:2021
IT GOA,2030,23,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT GOA:2005:2030,40,percent,CDPCitiesTargets:2021
IT LAQ,2020,0,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT LAQ:2005:2020,20,percent,CDPCitiesTargets:2021
IT LAQ,2020,0,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT LAQ:2005:2020,20,percent,CDPCitiesTargets:2021
IT MIL,2020,94,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT MIL:2005:2020,20,percent,CDPCitiesTargets:2021
IT MIL,2020,94,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT MIL:2005:2020,20,percent,CDPCitiesTargets:2021
IT MIL,2030,42,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT MIL:2005:2030,45,percent,CDPCitiesTargets:2021
IT MIL,2030,42,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT MIL:2005:2030,45,percent,CDPCitiesTargets:2021
IT MIL,2050,37,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT MIL:2005:2050,100,percent,CDPCitiesTargets:2021
IT MIL,2050,37,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT MIL:2005:2050,100,percent,CDPCitiesTargets:2021
IT NAP,2020,20,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT NAP:2005:2020,25,percent,CDPCitiesTargets:2021
IT NAP,2020,20,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT NAP:2005:2020,25,percent,CDPCitiesTargets:2021
IT PDA,2030,68,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT PDA:2005:2030,55,percent,CDPCitiesTargets:2021
IT PDA,2030,68,Absolute emission reduction,2005,CDPCitiesTargets:2021:IT PDA:2005:2030,55,percent,CDPCitiesTargets:2021
IT PMF,2030,12,Absolute emission reduction,2004,CDPCitiesTargets:2021:IT PMF:2004:2030,46,percent,CDPCitiesTargets:2021
IT QCS,2030,10,Absolute emission reduction,2013,CDPCitiesTargets:2021:IT QCS:2013:2030,22,percent,CDPCitiesTargets:2021
IT TRN,2030,83,Absolute emission reduction,1991,CDPCitiesTargets:2021:IT TRN:1991:2030,55,percent,CDPCitiesTargets:2021
IT TRN,2030,83,Absolute emission reduction,1991,CDPCitiesTargets:2021:IT TRN:1991:2030,55,percent,CDPCitiesTargets:2021
JO AMM,2030,0,Relative emission reduction,2030,CDPCitiesTargets:2021:JO AMM:2030:2030,40,percent,CDPCitiesTargets:2021
JP AAK,2030,0,Absolute emission reduction,1990,CDPCitiesTargets:2021:JP AAK:1990:2030,32,percent,CDPCitiesTargets:2021
JP HDA,2025,0,Absolute emission reduction,2019,CDPCitiesTargets:2021:JP HDA:2019:2025,8,percent,CDPCitiesTargets:2021
JP HDA,2030,45,Absolute emission reduction,2013,CDPCitiesTargets:2021:JP HDA:2013:2030,26,percent,CDPCitiesTargets:2021
JP HIM,2030,0,Absolute emission reduction,2013,CDPCitiesTargets:2021:JP HIM:2013:2030,26,percent,CDPCitiesTargets:2021
JP HKO,2030,0,Absolute emission reduction,2013,CDPCitiesTargets:2021:JP HKO:2013:2030,40,percent,CDPCitiesTargets:2021
JP HKY,2030,54,Absolute emission reduction,2013,CDPCitiesTargets:2021:JP HKY:2013:2030,40,percent,CDPCitiesTargets:2021
JP HMM,2030,29,Absolute emission reduction,2013,CDPCitiesTargets:2021:JP HMM:2013:2030,30,percent,CDPCitiesTargets:2021
JP IAK,2020,78,Absolute emission reduction,1990,CDPCitiesTargets:2021:JP IAK:1990:2020,20,percent,CDPCitiesTargets:2021
JP IAK,2050,22,Absolute emission reduction,1990,CDPCitiesTargets:2021:JP IAK:1990:2050,70,percent,CDPCitiesTargets:2021
JP IDA,2050,26,Absolute emission reduction,2005,CDPCitiesTargets:2021:JP IDA:2005:2050,100,percent,CDPCitiesTargets:2021
JP ITB,2020,100,Absolute emission reduction,1990,CDPCitiesTargets:2021:JP ITB:1990:2020,2,percent,CDPCitiesTargets:2021
JP KIJ,2024,65,Absolute emission reduction,2013,CDPCitiesTargets:2021:JP KIJ:2013:2024,30,percent,CDPCitiesTargets:2021
JP KIJ,2030,49,Absolute emission reduction,2013,CDPCitiesTargets:2021:JP KIJ:2013:2030,40,percent,CDPCitiesTargets:2021
JP KIJ,2050,24,Absolute emission reduction,2013,CDPCitiesTargets:2021:JP KIJ:2013:2050,80,percent,CDPCitiesTargets:2021
