"name","type","iso","locode"
"Rolândia","City","BRA",NA
"Cagayan de Oro","City","PHL",NA
"Bradford","City","GBR","GB-BRD"
"Tarakan","City","IDN",NA
"Washington D.C.","City","USA",NA
"Trenggalek Regency","City","IDN",NA
"Maroua","City","CMR",NA
"Rauch","City","ARG",NA
"Columbia, MO","City","USA",NA
"Jesús María","City","PER",NA
"Porvoo","City","FIN",NA
"Nongsamrong","City","THA",NA
"Minamioguni","City","JPN",NA
"Park Forest, IL","City","USA",NA
"La Serena","City","CHL",NA
"Selkirk, MB","City","CAN",NA
"Darwin","City","AUS",NA
"Mid-America Regional","City","USA",NA
"Hsinchu","City","TWN","TW-HSZ"
"San Pedro Garza García","City","MEX",NA
"Neba ","City","JPN",NA
"Yala Municipality","City","THA",NA
"Trenggalek Regency","City","IDN",NA
"Madrid","City","COL",NA
"St. Louis, MO","City","USA",NA
"Broward County, FL","City","USA",NA
"Hara ","City","JPN",NA
"Ayase","City","JPN",NA
"Trenggalek Regency","City","IDN",NA
"Tateshina","City","JPN",NA
"Highland Park, IL","City","USA",NA
"La Antigua Guatemala","City","GTM",NA
"Richmond, VA","City","USA",NA
"Hallandale Beach, FL","City","USA",NA
"Oda","City","JPN",NA
"Minamiise","City","JPN",NA
"Sayama","City","JPN",NA
"Byron Shire","City","AUS",NA
"Turku","City","FIN",NA
"Matsue","City","JPN",NA
"Kirishima","City","JPN",NA
"San Pedro Tlaquepaque","City","MEX",NA
"La Molina","City","PER",NA
"Takayama","City","JPN",NA
"Tokunoshima","City","JPN",NA
"Tamana","City","JPN",NA
"Yaoundé 4","City","CMR",NA
"Ekurhuleni","City","ZAF",NA
"Huddersfield","City","GBR",NA
"Kitahiroshima","City","JPN",NA
"Presidencia de Saltillo","City","MEX",NA
"Swale Borough","City","GBR",NA
"Minamiminowa","City","JPN",NA
"Shimada","City","JPN",NA
"JICOSUR","City","MEX",NA
"Mezitli","City","TUR",NA
"Santa Ana","City","CRI",NA
"Fukuyama","City","JPN",NA
"Kolkata","City","IND",NA
"Passo de Torres","City","BRA",NA
"Tampere","City","FIN",NA
"Penalolén","City","CHL",NA
"Tagum City","City","PHL",NA
"Minamisanriku","City","JPN",NA
"Rome","City","ITA",NA
"Katsushika","City","JPN",NA
"Itapoá","City","BRA",NA
"Ayase","City","JPN",NA
"Bend, OR","City","USA",NA
"Iwata","City","JPN",NA
"Yaoundé 6","City","CMR",NA
"Jammerbugt","City","DNK",NA
"Alcaldía de Cúcuta","City","COL",NA
"Trenggalek Regency","City","IDN",NA
"Fukuyama","City","JPN",NA
"Conde (Paraíba)","City","BRA",NA
"Miyakojima","City","JPN",NA
"Iiyama","City","JPN",NA
"La Unión","City","CRI",NA
"Tópaga","City","COL",NA
"Saku","City","JPN",NA
"Jakarta","City","IDN",NA
"Monte Verde","City","CRI",NA
"Langsa","City","IDN",NA
"La Unión","City","CRI",NA
"Durham, NH","City","USA",NA
"La Unión","City","CRI",NA
"Egedal","City","DNK",NA
"San Pedro de Urabá","City","COL",NA
"Belfast","City","GBR",NA
"San Borja","City","PER",NA
"York, ME","City","USA",NA
"Shibata","City","JPN",NA
"Yala Municipality","City","THA",NA
"Konan","City","JPN",NA
"Sayama","City","JPN",NA
"Murakami","City","JPN",NA
"Delémont","City","CHE",NA
"Jammerbugt","City","DNK",NA
"Municipality of Centro","City","MEX",NA
"Nanbu","City","JPN",NA
"Tainai","City","JPN",NA
"Chennai","City","IND",NA
"Okaya","City","JPN",NA
"Aira","City","JPN",NA
"Ashiya","City","JPN",NA
"Goyang","City","KOR",NA
"Trenggalek Regency","City","IDN",NA
"Leon Valley, TX","City","USA",NA
"Dobong-gu","City","KOR",NA
"Iwakura","City","JPN",NA
"Coronel Dominguez","City","ARG",NA
"Jammerbugt","City","DNK",NA
"Colton, CA","City","USA",NA
"Oberlin, OH","City","USA",NA
"Mine","City","JPN",NA
"Kitami","City","JPN",NA
"Saint John","City","CAN",NA
"Helsinki","City","FIN",NA
"Huddersfield","City","GBR",NA
"Puerto Princesa","City","PHL",NA
"Soeda","City","JPN",NA
"Oda","City","JPN",NA
"Ekurhuleni","City","ZAF",NA
"Manta","City","ECU",NA
"Matsubushi","City","JPN",NA
"Victoria (Tamaulipas)","City","MEX",NA
"Mihama","City","JPN",NA
"KwaDukuza","City","ZAF",NA
"Derry","City","GBR",NA
"Hove","City","GBR",NA
"Monte Verde","City","CRI",NA
"Itá","City","BRA",NA
"Batangas","City","PHL","PH-BTG"
"Mizuho","City","JPN",NA
"Somerset West and Taunton, UK","City","GBR",NA
"Miyakojima","City","JPN",NA
"Kizugawa","City","JPN",NA
"Hua-Hin","City","THA",NA
"Steve Tshwete","City","ZAF",NA
"Nagaizumi","City","JPN",NA
"Shiraoi","City","JPN",NA
"Athens","City","GRC",NA
"Kawaba ","City","JPN",NA
"Yokoze","City","JPN",NA
"Høje-Taastrup","City","DNK",NA
"Ayase","City","JPN",NA
"Princeton, NJ","City","USA",NA
"Trenggalek Regency","City","IDN",NA
"Taurage","City","LTU",NA
"Itoman","City","JPN",NA
"Mid-America Regional","City","USA",NA
"Tsubata","City","JPN",NA
"Saijo","City","JPN",NA
"Richmond, VA","City","USA",NA
"Broward County, FL","City","USA",NA
"Ogori","City","JPN",NA
"Mersin","City","TUR","TR-33"
"Davis, CA","City","USA",NA
"Funchal","City","PRT",NA
"Junta Intermunicipal de la Cuenca Baja del Rio Ayuquila (JIRA)","City","MEX",NA
"Minamioguni","City","JPN",NA
"Junta de Medio Ambiente Lagunas (JIMAL)","City","MEX",NA
"Joaçaba","City","BRA",NA
"Mumbai","City","IND",NA
"Yabuki","City","JPN",NA
"Trenggalek Regency","City","IDN",NA
"Winston-Salem, NC","City","USA",NA
"Saint John","City","CAN",NA
"Chonan","City","JPN",NA
"San Nicolas de los Garza","City","MEX",NA
"Kuroshio","City","JPN",NA
"Yaoundé 4","City","CMR",NA
"La Unión","City","CRI",NA
"Nakatane","City","JPN",NA
"Kitaaiki ","City","JPN",NA
"Borlänge kommun","City","SWE",NA
"Probolinggo","City","IDN",NA
"Santa Bárbara","City","CRI",NA
"Koshigaya","City","JPN",NA
"Namie","City","JPN",NA
"Montería","City","COL",NA
"Bakata","City","BFA",NA
"St. Catharines, ON","City","CAN",NA
"Nanjo","City","JPN",NA
"Bellingen Shire","City","AUS",NA
"Hashimoto","City","JPN",NA
"Kuzumaki","City","JPN",NA
"Åseda","City","SWE",NA
"Iwanuma","City","JPN",NA
"St. John’s","City","CAN",NA
"Trenggalek Regency","City","IDN",NA
"Numata","City","JPN",NA
"Omachi","City","JPN",NA
"Isahaya","City","JPN",NA
"Iskandar","City","MYS",NA
"Porvoo","City","FIN",NA
"Dipolog","City","PHL",NA
"JIMAV","City","MEX",NA
"Prefeitura do Paiçandu","City","BRA",NA
"Jbail-Byblos","City","LBN",NA
"Ekurhuleni","City","ZAF",NA
"Slough","City","GBR","GB-SLG"
"Thun","City","CHE",NA
"Summit County, UT","City","USA",NA
"San Sebastián de Mariquita","City","COL",NA
"China","City","JPN",NA
"Shiki","City","JPN",NA
