actor_id,year,total_emissions,datasource_id,emissions_id
RU-BRY,2016,3648048,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2016
RU-BRY,2017,3670948,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2017
RU-BRY,2018,3718724,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2018
RU-BRY,2019,3777915,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BRY:2019
RU-BU,2005,12990983,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2005
RU-BU,2006,12760019,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2006
RU-BU,2007,13164245,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2007
RU-BU,2008,19126800,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2008
RU-BU,2009,15764587,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2009
RU-BU,2010,15805053,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2010
RU-BU,2011,15574716,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2011
RU-BU,2012,16618060,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2012
RU-BU,2013,10500117,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2013
RU-BU,2014,12164658,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2014
RU-BU,2015,12403958,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2015
RU-BU,2016,11613592,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2016
RU-BU,2017,10697660,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2017
RU-BU,2018,9434032,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2018
RU-BU,2019,11979895,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-BU:2019
RU-CE,2005,552899,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2005
RU-CE,2006,568186,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2006
RU-CE,2007,406240,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2007
RU-CE,2008,536973,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2008
RU-CE,2009,310487,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2009
RU-CE,2010,316456,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2010
RU-CE,2011,423908,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2011
RU-CE,2012,609661,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2012
RU-CE,2013,554500,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2013
RU-CE,2014,586044,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2014
RU-CE,2015,428077,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2015
RU-CE,2016,522575,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2016
RU-CE,2017,469619,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2017
RU-CE,2018,706502,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2018
RU-CE,2019,1126158,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CE:2019
RU-CHE,2005,122034566,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2005
RU-CHE,2006,124246809,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2006
RU-CHE,2007,125316072,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2007
RU-CHE,2008,118626121,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2008
RU-CHE,2009,112895061,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2009
RU-CHE,2010,127955476,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2010
RU-CHE,2011,131299465,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2011
RU-CHE,2012,132811877,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2012
RU-CHE,2013,126289866,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2013
RU-CHE,2014,127186994,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2014
RU-CHE,2015,125694379,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2015
RU-CHE,2016,121752953,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2016
