"datasource_id","population","year","actor_id"
"CDPCitiesTargets:2021",2446144,2020,"KR TAE"
"CDPCitiesTargets:2021",2239191,2010,"EC UIO"
"CDPCitiesTargets:2021",8420887,2016,"TH BKK"
"CDPCitiesTargets:2021",133262,2021,"IS REY"
"CDPCitiesTargets:2021",210440,2017,"IT PDA"
"CDPCitiesTargets:2021",210440,2017,"IT PDA"
"CDPCitiesTargets:2021",38100,2019,"MC MON"
"CDPCitiesTargets:2021",26201,2011,"CR CAS"
"CDPCitiesTargets:2021",902,2018,"AR URA"
"CDPCitiesTargets:2021",1043070,2020,"ID BOG"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",277417,2018,"GB SUN"
"CDPCitiesTargets:2021",149280,2020,"SE HEL"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",332500,2020,"GB WAN"
"CDPCitiesTargets:2021",4394694,2020,"TR IZM"
"CDPCitiesTargets:2021",255042,2019,"ES VIT"
"CDPCitiesTargets:2021",280242,2020,"KR YOS"
"CDPCitiesTargets:2021",1175501,2020,"BR CPS"
"CDPCitiesTargets:2021",6041000,2019,"TZ DAR"
"CDPCitiesTargets:2021",3411200,2020,"AE DXB"
"CDPCitiesTargets:2021",125941,2020,"SE LUD"
"CDPCitiesTargets:2021",540000,2016,"FR NCE"
"CDPCitiesTargets:2021",290199,2010,"EC PVO"
"CDPCitiesTargets:2021",51962,2018,"AR CCO"
"CDPCitiesTargets:2021",8420887,2016,"TH BKK"
"CDPCitiesTargets:2021",77300,2020,"NZ ROT"
"CDPCitiesTargets:2021",149280,2020,"SE HEL"
"CDPCitiesTargets:2021",547757,2021,"NL HAG"
"CDPCitiesTargets:2021",6207299,2021,"IN STV"
"CDPCitiesTargets:2021",434736,2020,"CH ZRH"
"CDPCitiesTargets:2021",1797530,2020,"IN RAJ"
"CDPCitiesTargets:2021",633120,2019,"GB GLW"
"CDPCitiesTargets:2021",277417,2018,"GB SUN"
"CDPCitiesTargets:2021",896967,2021,"KR HWS"
"CDPCitiesTargets:2021",681877,2020,"ES ZAZ"
"CDPCitiesTargets:2021",1452549,2021,"JP UKY"
"CDPCitiesTargets:2021",434736,2020,"CH ZRH"
"CDPCitiesTargets:2021",300000,2021,"CR DE2"
"CDPCitiesTargets:2021",6747815,2019,"BR RIO"
"CDPCitiesTargets:2021",540000,2016,"FR NCE"
"CDPCitiesTargets:2021",1948626,2020,"BR CWB"
"CDPCitiesTargets:2021",65333,2017,"PE SDR"
"CDPCitiesTargets:2021",78570,2016,"AR RCQ"
"CDPCitiesTargets:2021",1252786,2016,"SN DKR"
"CDPCitiesTargets:2021",24000,2017,"CR BLN"
"CDPCitiesTargets:2021",390636,2018,"IT BLQ"
"CDPCitiesTargets:2021",872497,2021,"NL AMS"
"CDPCitiesTargets:2021",638147,2021,"DK CPH"
"CDPCitiesTargets:2021",1293611,2021,"HN TGU"
"CDPCitiesTargets:2021",127119,2018,"SE UME"
"CDPCitiesTargets:2021",866510,2020,"IT TRN"
"CDPCitiesTargets:2021",866510,2020,"IT TRN"
"CDPCitiesTargets:2021",345366,2015,"PH BAG"
"CDPCitiesTargets:2021",347398,2020,"CR SJO"
"CDPCitiesTargets:2021",38100,2019,"MC MON"
"CDPCitiesTargets:2021",404495,2017,"CL SCL"
"CDPCitiesTargets:2021",131100,2019,"NZ DUD"
"CDPCitiesTargets:2021",418686,2015,"JP TOY"
"CDPCitiesTargets:2021",291839,2020,"MX PVR"
"CDPCitiesTargets:2021",127119,2018,"SE UME"
"CDPCitiesTargets:2021",1653461,2020,"BR REC"
"CDPCitiesTargets:2021",125941,2020,"SE LUD"
"CDPCitiesTargets:2021",1680600,2020,"UG KLA"
"CDPCitiesTargets:2021",1948626,2020,"BR CWB"
"CDPCitiesTargets:2021",199392,2018,"AR GCR"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",26861,2011,"CR QPS"
"CDPCitiesTargets:2021",6041000,2019,"TZ DAR"
"CDPCitiesTargets:2021",97676,2020,"PT VSE"
"CDPCitiesTargets:2021",149149,2020,"ID BTR"
"CDPCitiesTargets:2021",337098,2020,"GB NTG"
"CDPCitiesTargets:2021",2446144,2020,"KR TAE"
"CDPCitiesTargets:2021",8420887,2016,"TH BKK"
"CDPCitiesTargets:2021",2873484,2017,"ID BKA"
"CDPCitiesTargets:2021",201386,2021,"CH BSL"
"CDPCitiesTargets:2021",1293611,2021,"HN TGU"
"CDPCitiesTargets:2021",201837,2021,"BE CRL"
"CDPCitiesTargets:2021",86217,2020,"SE KID"
"CDPCitiesTargets:2021",145358,2020,"CH LAU"
"CDPCitiesTargets:2021",640600,2018,"PL WRO"
"CDPCitiesTargets:2021",640600,2018,"PL WRO"
"CDPCitiesTargets:2021",640600,2018,"PL WRO"
"CDPCitiesTargets:2021",2765932,2020,"TW KHH"
"CDPCitiesTargets:2021",1000000,2021,"CI COD"
"CDPCitiesTargets:2021",352739,2021,"DK AAR"
"CDPCitiesTargets:2021",526555,2021,"JP HIM"
"CDPCitiesTargets:2021",282415,2017,"CL ZCO"
"CDPCitiesTargets:2021",3776146,2021,"JP YOK"
"CDPCitiesTargets:2021",13957977,2021,"JP TYO"
"CDPCitiesTargets:2021",166057,2020,"KR TJI"
"CDPCitiesTargets:2021",65333,2017,"PE SDR"
"CDPCitiesTargets:2021",998527,2019,"AR ROS"
"CDPCitiesTargets:2021",39116,2021,"DK MID"
"CDPCitiesTargets:2021",998527,2019,"AR ROS"
"CDPCitiesTargets:2021",45877,2020,"SE TRG"
"CDPCitiesTargets:2021",2686612,2020,"BR FOR"
"CDPCitiesTargets:2021",3769000,2020,"DE BER"
"CDPCitiesTargets:2021",248736,2020,"AU SYD"
"CDPCitiesTargets:2021",21000000,2015,"NG LOS"
"CDPCitiesTargets:2021",463400,2019,"GB BRS"
"CDPCitiesTargets:2021",2886698,2020,"BR SSA"
"CDPCitiesTargets:2021",2521564,2020,"BR BHZ"
"CDPCitiesTargets:2021",345366,2015,"PH BAG"
"CDPCitiesTargets:2021",2446144,2020,"KR TAE"
"CDPCitiesTargets:2021",231962,2021,"PT OPO"
"CDPCitiesTargets:2021",277417,2018,"GB SUN"
"CDPCitiesTargets:2021",122000,2021,"GB WNE"
"CDPCitiesTargets:2021",1664182,2020,"ES BCN"
"CDPCitiesTargets:2021",77300,2020,"NZ ROT"
"CDPCitiesTargets:2021",65333,2017,"PE SDR"
"CDPCitiesTargets:2021",347398,2020,"CR SJO"
"CDPCitiesTargets:2021",118964,2021,"JP HDA"
"CDPCitiesTargets:2021",185937,2011,"ME TGD"
"CDPCitiesTargets:2021",160754,2018,"SE LPI"
"CDPCitiesTargets:2021",145358,2020,"CH LAU"
"CDPCitiesTargets:2021",5052000,2016,"CI ABJ"
"CDPCitiesTargets:2021",3223334,2018,"ES MAD"
"CDPCitiesTargets:2021",532766,2021,"ZA PZB"
"CDPCitiesTargets:2021",1618400,2018,"NZ AKL"
"CDPCitiesTargets:2021",149280,2020,"SE HEL"
"CDPCitiesTargets:2021",1895486,2020,"ID TRG"
"CDPCitiesTargets:2021",86350,2019,"BR STD"
"CDPCitiesTargets:2021",11936010,2020,"CN HAZ"
"CDPCitiesTargets:2021",286178,2021,"KR CHC"
"CDPCitiesTargets:2021",434736,2020,"CH ZRH"
"CDPCitiesTargets:2021",2533424,2020,"CO MDE"
"CDPCitiesTargets:2021",4423834,2018,"ZA CPT"
"CDPCitiesTargets:2021",1653461,2020,"BR REC"
"CDPCitiesTargets:2021",7481800,2020,"HK HKG"
"CDPCitiesTargets:2021",6747815,2019,"BR RIO"
"CDPCitiesTargets:2021",796670,2018,"JP KIJ"
"CDPCitiesTargets:2021",1618400,2018,"NZ AKL"
"CDPCitiesTargets:2021",65333,2017,"PE SDR"
"CDPCitiesTargets:2021",365437,2020,"IT FLR"
"CDPCitiesTargets:2021",365437,2020,"IT FLR"
"CDPCitiesTargets:2021",13957977,2021,"JP TYO"
"CDPCitiesTargets:2021",492681,2018,"FR URO"
"CDPCitiesTargets:2021",65333,2017,"PE SDR"
"CDPCitiesTargets:2021",48502,2021,"PT FFE"
"CDPCitiesTargets:2021",697010,2021,"NO OSL"
"CDPCitiesTargets:2021",800215,2020,"ES VLC"
"CDPCitiesTargets:2021",255042,2019,"ES VIT"
