"identifier","actor_id","namespace","datasource_id"
43930,"NL HAG","CDP","CDPCitiesTargets:2021"
843399,"GB WAN","CDP","CDPCitiesTargets:2021"
54282,"CN HAZ","CDP","CDPCitiesTargets:2021"
848125,"CR ORE","CDP","CDPCitiesTargets:2021"
840521,"TR DNZ","CDP","CDPCitiesTargets:2021"
74631,"CD FBM","CDP","CDPCitiesTargets:2021"
42178,"EC UIO","CDP","CDPCitiesTargets:2021"
31150,"TH BKK","CDP","CDPCitiesTargets:2021"
36494,"IT PDA","CDP","CDPCitiesTargets:2021"
50792,"MC MON","CDP","CDPCitiesTargets:2021"
36477,"IT LCV","CDP","CDPCitiesTargets:2021"
73695,"AR URA","CDP","CDPCitiesTargets:2021"
54329,"ID BOG","CDP","CDPCitiesTargets:2021"
74673,"TR IZM","CDP","CDPCitiesTargets:2021"
44210,"KR YOS","CDP","CDPCitiesTargets:2021"
43938,"AE DXB","CDP","CDPCitiesTargets:2021"
831952,"EC PVO","CDP","CDPCitiesTargets:2021"
73694,"AR CCO","CDP","CDPCitiesTargets:2021"
54274,"NZ ROT","CDP","CDPCitiesTargets:2021"
54305,"IN RAJ","CDP","CDPCitiesTargets:2021"
31055,"GB GLW","CDP","CDPCitiesTargets:2021"
44196,"KR HWS","CDP","CDPCitiesTargets:2021"
46473,"ES ZAZ","CDP","CDPCitiesTargets:2021"
49389,"JP UKY","CDP","CDPCitiesTargets:2021"
832000,"CR DE2","CDP","CDPCitiesTargets:2021"
840030,"AR RCQ","CDP","CDPCitiesTargets:2021"
36032,"SN DKR","CDP","CDPCitiesTargets:2021"
36274,"IT BLQ","CDP","CDPCitiesTargets:2021"
834143,"JP HKO","CDP","CDPCitiesTargets:2021"
31009,"DK CPH","CDP","CDPCitiesTargets:2021"
35886,"IT TRN","CDP","CDPCitiesTargets:2021"
60003,"PH BAG","CDP","CDPCitiesTargets:2021"
60393,"CL SCL","CDP","CDPCitiesTargets:2021"
54268,"NZ DUD","CDP","CDPCitiesTargets:2021"
826148,"MX PVR","CDP","CDPCitiesTargets:2021"
73671,"AR GCR","CDP","CDPCitiesTargets:2021"
50674,"PT VSE","CDP","CDPCitiesTargets:2021"
840514,"ID BTR","CDP","CDPCitiesTargets:2021"
68337,"ID BKA","CDP","CDPCitiesTargets:2021"
60167,"BE CRL","CDP","CDPCitiesTargets:2021"
54497,"PL WRO","CDP","CDPCitiesTargets:2021"
73413,"CI COD","CDP","CDPCitiesTargets:2021"
54408,"DK AAR","CDP","CDPCitiesTargets:2021"
74371,"JP HIM","CDP","CDPCitiesTargets:2021"
60400,"CL ZCO","CDP","CDPCitiesTargets:2021"
31113,"JP YOK","CDP","CDPCitiesTargets:2021"
44299,"KR TJI","CDP","CDPCitiesTargets:2021"
50373,"AR ROS","CDP","CDPCitiesTargets:2021"
59180,"DK MID","CDP","CDPCitiesTargets:2021"
60236,"SE TRG","CDP","CDPCitiesTargets:2021"
35865,"BR FOR","CDP","CDPCitiesTargets:2021"
31114,"AU SYD","CDP","CDPCitiesTargets:2021"
31167,"NG LOS","CDP","CDPCitiesTargets:2021"
42120,"BR SSA","CDP","CDPCitiesTargets:2021"
35848,"BR BHZ","CDP","CDPCitiesTargets:2021"
60117,"GB WNE","CDP","CDPCitiesTargets:2021"
60178,"SE LPI","CDP","CDPCitiesTargets:2021"
31171,"ES MAD","CDP","CDPCitiesTargets:2021"
37261,"ZA PZB","CDP","CDPCitiesTargets:2021"
43932,"NZ AKL","CDP","CDPCitiesTargets:2021"
54318,"ID TRG","CDP","CDPCitiesTargets:2021"
840926,"BR STD","CDP","CDPCitiesTargets:2021"
35873,"CO MDE","CDP","CDPCitiesTargets:2021"
35858,"ZA CPT","CDP","CDPCitiesTargets:2021"
859174,"JP OKI","CDP","CDPCitiesTargets:2021"
50671,"PT FFE","CDP","CDPCitiesTargets:2021"
14088,"NO OSL","CDP","CDPCitiesTargets:2021"
35887,"ES VLC","CDP","CDPCitiesTargets:2021"
54409,"FI ES2","CDP","CDPCitiesTargets:2021"
50358,"MX TLC","CDP","CDPCitiesTargets:2021"
54492,"NO BGO","CDP","CDPCitiesTargets:2021"
60394,"BO TJA","CDP","CDPCitiesTargets:2021"
60229,"NO ARE","CDP","CDPCitiesTargets:2021"
55324,"PT GUI","CDP","CDPCitiesTargets:2021"
50361,"MX HMO","CDP","CDPCitiesTargets:2021"
54396,"VN VCA","CDP","CDPCitiesTargets:2021"
31172,"MX MEX","CDP","CDPCitiesTargets:2021"
31052,"GB CDF","CDP","CDPCitiesTargets:2021"
43940,"SE MMA","CDP","CDPCitiesTargets:2021"
54632,"BR CAU","CDP","CDPCitiesTargets:2021"
54478,"NL NIJ","CDP","CDPCitiesTargets:2021"
31109,"AU MEL","CDP","CDPCitiesTargets:2021"
60125,"LT KLJ","CDP","CDPCitiesTargets:2021"
834167,"IN KOC","CDP","CDPCitiesTargets:2021"
36262,"IT GOA","CDP","CDPCitiesTargets:2021"
50203,"TR GZT","CDP","CDPCitiesTargets:2021"
50382,"MX MID","CDP","CDPCitiesTargets:2021"
55166,"JP TSB","CDP","CDPCitiesTargets:2021"
36277,"IT QCS","CDP","CDPCitiesTargets:2021"
859148,"JP IAK","CDP","CDPCitiesTargets:2021"
54386,"TW TNN","CDP","CDPCitiesTargets:2021"
49360,"ZA PRY","CDP","CDPCitiesTargets:2021"
31170,"PE LIM","CDP","CDPCitiesTargets:2021"
43917,"BG SOF","CDP","CDPCitiesTargets:2021"
35903,"MA CAS","CDP","CDPCitiesTargets:2021"
60417,"AR BRC","CDP","CDPCitiesTargets:2021"
11315,"GB MNC","CDP","CDPCitiesTargets:2021"
60414,"AR VNT","CDP","CDPCitiesTargets:2021"
55181,"JP MYJ","CDP","CDPCitiesTargets:2021"
834161,"TW KNH","CDP","CDPCitiesTargets:2021"
54457,"DE RSK","CDP","CDPCitiesTargets:2021"
54613,"CL ZAL","CDP","CDPCitiesTargets:2021"
74375,"JP ITB","CDP","CDPCitiesTargets:2021"
31179,"NL RTM","CDP","CDPCitiesTargets:2021"
50374,"CO CTG","CDP","CDPCitiesTargets:2021"
50357,"AR MDZ","CDP","CDPCitiesTargets:2021"
831230,"TN L8T","CDP","CDPCitiesTargets:2021"
834219,"AR CNQ","CDP","CDPCitiesTargets:2021"
36223,"MG TNR","CDP","CDPCitiesTargets:2021"
73879,"DK RKE","CDP","CDPCitiesTargets:2021"
834403,"AR CPC","CDP","CDPCitiesTargets:2021"
44080,"JP KKJ","CDP","CDPCitiesTargets:2021"
50211,"GE TBS","CDP","CDPCitiesTargets:2021"
859154,"JP HKY","CDP","CDPCitiesTargets:2021"
60408,"CL TLX","CDP","CDPCitiesTargets:2021"
54337,"JO AMM","CDP","CDPCitiesTargets:2021"
55161,"JP IDA","CDP","CDPCitiesTargets:2021"
73757,"ID SUK","CDP","CDPCitiesTargets:2021"
859097,"JP YIH","CDP","CDPCitiesTargets:2021"
59167,"CL PRO","CDP","CDPCitiesTargets:2021"
74695,"NO SAS","CDP","CDPCitiesTargets:2021"
3429,"SE STO","CDP","CDPCitiesTargets:2021"
859104,"JP MYO","CDP","CDPCitiesTargets:2021"
50367,"MX CUL","CDP","CDPCitiesTargets:2021"
74671,"TR KAD","CDP","CDPCitiesTargets:2021"
31155,"AR BUE","CDP","CDPCitiesTargets:2021"
54327,"ID SRG","CDP","CDPCitiesTargets:2021"
50782,"BD DAC","CDP","CDPCitiesTargets:2021"
840425,"SE SKV","CDP","CDPCitiesTargets:2021"
36426,"LV RIX","CDP","CDPCitiesTargets:2021"
31163,"TR IST","CDP","CDPCitiesTargets:2021"
36469,"IT LAQ","CDP","CDPCitiesTargets:2021"
848128,"PA OCU","CDP","CDPCitiesTargets:2021"
74672,"TR NIL","CDP","CDPCitiesTargets:2021"
60318,"BR PVH","CDP","CDPCitiesTargets:2021"
50650,"GI GIB","CDP","CDPCitiesTargets:2021"
69850,"PE COM","CDP","CDPCitiesTargets:2021"
841491,"MY MUA","CDP","CDPCitiesTargets:2021"
834352,"JP SUI","CDP","CDPCitiesTargets:2021"
31146,"ET ADD","CDP","CDPCitiesTargets:2021"
54349,"ID BPN","CDP","CDPCitiesTargets:2021"
56276,"TW NTC","CDP","CDPCitiesTargets:2021"
36286,"IT FRR","CDP","CDPCitiesTargets:2021"
17411,"GB SAA","CDP","CDPCitiesTargets:2021"
839665,"MX CLY","CDP","CDPCitiesTargets:2021"
58564,"TW CYI","CDP","CDPCitiesTargets:2021"
841269,"AR MTC","CDP","CDPCitiesTargets:2021"
54367,"MY MEA","CDP","CDPCitiesTargets:2021"
54681,"BR ARU","CDP","CDPCitiesTargets:2021"
50383,"BR SOR","CDP","CDPCitiesTargets:2021"
834402,"JP YOS","CDP","CDPCitiesTargets:2021"
859096,"JP AAK","CDP","CDPCitiesTargets:2021"
