"name","type","iso","locode"
"Saku","City","JPN",NA
"Jakarta","City","IDN",NA
"Monte Verde","City","CRI",NA
"Langsa","City","IDN",NA
"La Unión","City","CRI",NA
"Durham, NH","City","USA",NA
"La Unión","City","CRI",NA
"Egedal","City","DNK",NA
"San Pedro de Urabá","City","COL",NA
"San Borja","City","PER",NA
"York, ME","City","USA",NA
"Shibata","City","JPN",NA
"Yala Municipality","City","THA",NA
"Jammerbugt","City","DNK",NA
"Municipality of Centro","City","MEX",NA
"Nanbu","City","JPN",NA
"Chennai","City","IND",NA
"Ashiya","City","JPN",NA
"Trenggalek Regency","City","IDN",NA
"Leon Valley, TX","City","USA",NA
"Dobong-gu","City","KOR",NA
"Iwakura","City","JPN",NA
"Coronel Dominguez","City","ARG",NA
"Jammerbugt","City","DNK",NA
"Colton, CA","City","USA",NA
"Oberlin, OH","City","USA",NA
"Saint John","City","CAN",NA
"Helsinki","City","FIN",NA
"Puerto Princesa","City","PHL",NA
"Soeda","City","JPN",NA
"Oda","City","JPN",NA
"Ekurhuleni","City","ZAF",NA
"Victoria (Tamaulipas)","City","MEX",NA
"KwaDukuza","City","ZAF",NA
"Monte Verde","City","CRI",NA
"Batangas","City","PHL",NA
"Somerset West and Taunton, UK","City","GBR",NA
"Hua-Hin","City","THA",NA
"Steve Tshwete","City","ZAF",NA
"Nagaizumi","City","JPN",NA
"Athens","City","GRC",NA
"Kawaba ","City","JPN",NA
"Yokoze","City","JPN",NA
"Høje-Taastrup","City","DNK",NA
"Ayase","City","JPN",NA
"Princeton, NJ","City","USA",NA
"Trenggalek Regency","City","IDN",NA
"Mid-America Regional","City","USA",NA
"Tsubata","City","JPN",NA
"Richmond, VA","City","USA",NA
"Broward County, FL","City","USA",NA
"Davis, CA","City","USA",NA
"Funchal","City","PRT",NA
"Junta Intermunicipal de la Cuenca Baja del Rio Ayuquila (JIRA)","City","MEX",NA
"Minamioguni","City","JPN",NA
"Junta de Medio Ambiente Lagunas (JIMAL)","City","MEX",NA
"Mumbai","City","IND",NA
"Yabuki","City","JPN",NA
"Trenggalek Regency","City","IDN",NA
"Winston-Salem, NC","City","USA",NA
"Saint John","City","CAN",NA
"Chonan","City","JPN",NA
"Kuroshio","City","JPN",NA
"Yaoundé 4","City","CMR",NA
"La Unión","City","CRI",NA
"Nakatane","City","JPN",NA
"Kitaaiki ","City","JPN",NA
"Borlänge kommun","City","SWE",NA
"Probolinggo","City","IDN",NA
"Santa Bárbara","City","CRI",NA
"Namie","City","JPN",NA
"Montería","City","COL",NA
"Bakata","City","BFA",NA
"St. Catharines, ON","City","CAN",NA
"Bellingen Shire","City","AUS",NA
"Hashimoto","City","JPN",NA
"Kuzumaki","City","JPN",NA
"Iwanuma","City","JPN",NA
"St. John’s","City","CAN",NA
"Trenggalek Regency","City","IDN",NA
"Numata","City","JPN",NA
"Iskandar","City","MYS",NA
"Porvoo","City","FIN",NA
"Dipolog","City","PHL",NA
"JIMAV","City","MEX",NA
"Prefeitura do Paiçandu","City","BRA",NA
"Jbail-Byblos","City","LBN",NA
"Ekurhuleni","City","ZAF",NA
"Summit County, UT","City","USA",NA
"San Sebastián de Mariquita","City","COL",NA
