actor_id,identifier,datasource_id,namespace
ECCC_G10102:549300XC9E3MQMOFK383,ECCC_G10102:549300XC9E3MQMOFK383,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10216:549300XC9E3MQMOFK383,ECCC_G10216:549300XC9E3MQMOFK383,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10691:549300JKT5KTWQGH8W42,ECCC_G10691:549300JKT5KTWQGH8W42,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10091:549300ZWW04O98IXFO27,ECCC_G10091:549300ZWW04O98IXFO27,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10275:549300TE72QZCLE47467,ECCC_G10275:549300TE72QZCLE47467,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10332:549300SSW2M4U7Q46278,ECCC_G10332:549300SSW2M4U7Q46278,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12265:549300SSW2M4U7Q46278,ECCC_G12265:549300SSW2M4U7Q46278,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10423:5493005C3MRGJI6ZZF14,ECCC_G10423:5493005C3MRGJI6ZZF14,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10093:XYSIJOU3HNVROZWNA008,ECCC_G10093:XYSIJOU3HNVROZWNA008,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10318:XYSIJOU3HNVROZWNA008,ECCC_G10318:XYSIJOU3HNVROZWNA008,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10452:XYSIJOU3HNVROZWNA008,ECCC_G10452:XYSIJOU3HNVROZWNA008,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10315:5493006UUHUKRKECPK41,ECCC_G10315:5493006UUHUKRKECPK41,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10113:549300GT6BLC9T74PS32,ECCC_G10113:549300GT6BLC9T74PS32,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10218:549300GT6BLC9T74PS32,ECCC_G10218:549300GT6BLC9T74PS32,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10118:549300D6IHC1ALPRUY09,ECCC_G10118:549300D6IHC1ALPRUY09,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10377:5493009UL1CFLQ2GMZ46,ECCC_G10377:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10675:CZ72ZHBVKZXQRV3XFE26,ECCC_G10675:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11376:CZ72ZHBVKZXQRV3XFE26,ECCC_G11376:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10938:549300D6IHC1ALPRUY09,ECCC_G10938:549300D6IHC1ALPRUY09,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12198:549300D6IHC1ALPRUY09,ECCC_G12198:549300D6IHC1ALPRUY09,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10549:549300T15RIMIKZC5Q38,ECCC_G10549:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11190:549300T15RIMIKZC5Q38,ECCC_G11190:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11238:549300T15RIMIKZC5Q38,ECCC_G11238:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11328:549300T15RIMIKZC5Q38,ECCC_G11328:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12148:549300T15RIMIKZC5Q38,ECCC_G12148:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10429:549300T15RIMIKZC5Q38,ECCC_G10429:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10869:CZ72ZHBVKZXQRV3XFE26,ECCC_G10869:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10870:CZ72ZHBVKZXQRV3XFE26,ECCC_G10870:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11283:CZ72ZHBVKZXQRV3XFE26,ECCC_G11283:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11393:CZ72ZHBVKZXQRV3XFE26,ECCC_G11393:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11462:CZ72ZHBVKZXQRV3XFE26,ECCC_G11462:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12365:CZ72ZHBVKZXQRV3XFE26,ECCC_G12365:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12432:CZ72ZHBVKZXQRV3XFE26,ECCC_G12432:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10341:5493002HWKHG11IPOG10,ECCC_G10341:5493002HWKHG11IPOG10,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10130:08IRJODWFYBI7QWRGS31,ECCC_G10130:08IRJODWFYBI7QWRGS31,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10430:549300T15RIMIKZC5Q38,ECCC_G10430:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12021:549300T15RIMIKZC5Q38,ECCC_G12021:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12223:5493009UL1CFLQ2GMZ46,ECCC_G12223:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11363:549300ZX1Z8QGWASPX54,ECCC_G11363:549300ZX1Z8QGWASPX54,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11473:CZ72ZHBVKZXQRV3XFE26,ECCC_G11473:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11443:549300MG32TDSM60SX75,ECCC_G11443:549300MG32TDSM60SX75,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11476:549300MG32TDSM60SX75,ECCC_G11476:549300MG32TDSM60SX75,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12339:549300MG32TDSM60SX75,ECCC_G12339:549300MG32TDSM60SX75,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10428:549300T15RIMIKZC5Q38,ECCC_G10428:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10431:549300T15RIMIKZC5Q38,ECCC_G10431:549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11139:5493009UL1CFLQ2GMZ46,ECCC_G11139:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12313:5493009UL1CFLQ2GMZ46,ECCC_G12313:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11138:5493009UL1CFLQ2GMZ46,ECCC_G11138:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11370:5493007C77EEJ03RCD29,ECCC_G11370:5493007C77EEJ03RCD29,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10651:08IRJODWFYBI7QWRGS31,ECCC_G10651:08IRJODWFYBI7QWRGS31,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10147:5493009UL1CFLQ2GMZ46,ECCC_G10147:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10329:5493009UL1CFLQ2GMZ46,ECCC_G10329:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10389:5493009UL1CFLQ2GMZ46,ECCC_G10389:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10475:5493009UL1CFLQ2GMZ46,ECCC_G10475:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10780:5493009UL1CFLQ2GMZ46,ECCC_G10780:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10841:5493009UL1CFLQ2GMZ46,ECCC_G10841:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10842:5493009UL1CFLQ2GMZ46,ECCC_G10842:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11495:5493009UL1CFLQ2GMZ46,ECCC_G11495:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11948:5493009UL1CFLQ2GMZ46,ECCC_G11948:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10224:5493009UL1CFLQ2GMZ46,ECCC_G10224:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10411:5493009UL1CFLQ2GMZ46,ECCC_G10411:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10476:5493009UL1CFLQ2GMZ46,ECCC_G10476:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10241:5493002HWKHG11IPOG10,ECCC_G10241:5493002HWKHG11IPOG10,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10242:5493002HWKHG11IPOG10,ECCC_G10242:5493002HWKHG11IPOG10,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10711:5493009UL1CFLQ2GMZ46,ECCC_G10711:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11145:5493009UL1CFLQ2GMZ46,ECCC_G11145:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11330:5493009UL1CFLQ2GMZ46,ECCC_G11330:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11538:5493009UL1CFLQ2GMZ46,ECCC_G11538:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12155:5493009UL1CFLQ2GMZ46,ECCC_G12155:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12178:5493009UL1CFLQ2GMZ46,ECCC_G12178:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12205:5493009UL1CFLQ2GMZ46,ECCC_G12205:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12256:5493009UL1CFLQ2GMZ46,ECCC_G12256:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G12266:5493009UL1CFLQ2GMZ46,ECCC_G12266:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10913:N4BHALMXL3GMZKCUON55,ECCC_G10913:N4BHALMXL3GMZKCUON55,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10922:N4BHALMXL3GMZKCUON55,ECCC_G10922:N4BHALMXL3GMZKCUON55,ECCC_GHGRP:2022-04-14,LOCODE_LEI
