year,total_emissions,actor_id,emissions_id,datasource_id
2018,1157889,ECCC_G10897:ZRPT83FLC26QOUQ8DT58,ECCC_GHGRP:ECCC_G10897:ZRPT83FLC26QOUQ8DT582018,ECCC_GHGRP:2022-04-14
2017,764206,ECCC_G10897:ZRPT83FLC26QOUQ8DT58,ECCC_GHGRP:ECCC_G10897:ZRPT83FLC26QOUQ8DT582017,ECCC_GHGRP:2022-04-14
2016,362752,ECCC_G10897:ZRPT83FLC26QOUQ8DT58,ECCC_GHGRP:ECCC_G10897:ZRPT83FLC26QOUQ8DT582016,ECCC_GHGRP:2022-04-14
2017,15815,ECCC_G11174:5493005C3MRGJI6ZZF14,ECCC_GHGRP:ECCC_G11174:5493005C3MRGJI6ZZF142017,ECCC_GHGRP:2022-04-14
2015,84433,ECCC_G10125:635400MHHHT7LMKMQL03,ECCC_GHGRP:ECCC_G10125:635400MHHHT7LMKMQL032015,ECCC_GHGRP:2022-04-14
2020,40539,ECCC_G10419:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10419:549300ETZ2H2VN8K12432020,ECCC_GHGRP:2022-04-14
2019,70797,ECCC_G10419:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10419:549300ETZ2H2VN8K12432019,ECCC_GHGRP:2022-04-14
2018,99064,ECCC_G10419:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10419:549300ETZ2H2VN8K12432018,ECCC_GHGRP:2022-04-14
2017,101207,ECCC_G10419:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10419:549300ETZ2H2VN8K12432017,ECCC_GHGRP:2022-04-14
2016,91796,ECCC_G10419:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10419:549300ETZ2H2VN8K12432016,ECCC_GHGRP:2022-04-14
2015,90203,ECCC_G10419:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10419:549300ETZ2H2VN8K12432015,ECCC_GHGRP:2022-04-14
2014,76551,ECCC_G10419:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10419:549300ETZ2H2VN8K12432014,ECCC_GHGRP:2022-04-14
2013,104137,ECCC_G10419:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10419:549300ETZ2H2VN8K12432013,ECCC_GHGRP:2022-04-14
2018,23413,ECCC_G11236:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G11236:549300ETZ2H2VN8K12432018,ECCC_GHGRP:2022-04-14
2017,21358,ECCC_G11236:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G11236:549300ETZ2H2VN8K12432017,ECCC_GHGRP:2022-04-14
2017,622646,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432017,ECCC_GHGRP:2022-04-14
2016,567987,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432016,ECCC_GHGRP:2022-04-14
2015,577326,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432015,ECCC_GHGRP:2022-04-14
2014,479301,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432014,ECCC_GHGRP:2022-04-14
2013,587306,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432013,ECCC_GHGRP:2022-04-14
2012,607204,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432012,ECCC_GHGRP:2022-04-14
2011,564525,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432011,ECCC_GHGRP:2022-04-14
2010,516702,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432010,ECCC_GHGRP:2022-04-14
2009,533237,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432009,ECCC_GHGRP:2022-04-14
2008,531859,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432008,ECCC_GHGRP:2022-04-14
2007,521924,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432007,ECCC_GHGRP:2022-04-14
2006,553291,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432006,ECCC_GHGRP:2022-04-14
2005,521025,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432005,ECCC_GHGRP:2022-04-14
2004,520695,ECCC_G10053:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10053:549300ETZ2H2VN8K12432004,ECCC_GHGRP:2022-04-14
2011,1192716,ECCC_G10006:549300ETZ2H2VN8K1243,ECCC_GHGRP:ECCC_G10006:549300ETZ2H2VN8K12432011,ECCC_GHGRP:2022-04-14
2020,27817,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782020,ECCC_GHGRP:2022-04-14
2019,25646,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782019,ECCC_GHGRP:2022-04-14
2018,29038,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782018,ECCC_GHGRP:2022-04-14
2017,22833,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782017,ECCC_GHGRP:2022-04-14
2016,26060,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782016,ECCC_GHGRP:2022-04-14
2015,20599,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782015,ECCC_GHGRP:2022-04-14
2014,17125,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782014,ECCC_GHGRP:2022-04-14
2013,36732,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782013,ECCC_GHGRP:2022-04-14
2012,36111,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782012,ECCC_GHGRP:2022-04-14
2011,66018,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782011,ECCC_GHGRP:2022-04-14
2010,59565,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782010,ECCC_GHGRP:2022-04-14
2009,112554,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782009,ECCC_GHGRP:2022-04-14
2008,97291,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782008,ECCC_GHGRP:2022-04-14
2007,59690,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782007,ECCC_GHGRP:2022-04-14
2006,111189,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782006,ECCC_GHGRP:2022-04-14
2005,134147,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782005,ECCC_GHGRP:2022-04-14
2004,151520,ECCC_G10032:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10032:54930037NB6NXS8EKP782004,ECCC_GHGRP:2022-04-14
2020,273876,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782020,ECCC_GHGRP:2022-04-14
2019,244711,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782019,ECCC_GHGRP:2022-04-14
2018,546074,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782018,ECCC_GHGRP:2022-04-14
2017,527678,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782017,ECCC_GHGRP:2022-04-14
2016,619127,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782016,ECCC_GHGRP:2022-04-14
2015,527585,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782015,ECCC_GHGRP:2022-04-14
2014,503049,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782014,ECCC_GHGRP:2022-04-14
2013,477753,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782013,ECCC_GHGRP:2022-04-14
2012,501536,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782012,ECCC_GHGRP:2022-04-14
