item,iso31662,population,populationYear
http://www.wikidata.org/entity/Q5710,RU-BA,4038151,2020
http://www.wikidata.org/entity/Q5710,RU-BA,4063293,2018
http://www.wikidata.org/entity/Q3908,ES-GA,2703290,2018
http://www.wikidata.org/entity/Q7525,UA-40,436670,2018
http://www.wikidata.org/entity/Q9365,TJ-DU,863400,2020
http://www.wikidata.org/entity/Q5693,FI-04,132695,2021
http://www.wikidata.org/entity/Q7971,RU-MAG,139034,2021
http://www.wikidata.org/entity/Q7971,RU-MAG,144091,2018
http://www.wikidata.org/entity/Q7525,UA-40,428753,2017
http://www.wikidata.org/entity/Q7525,UA-40,443212,2019
http://www.wikidata.org/entity/Q6543,RU-KK,532036,2021
http://www.wikidata.org/entity/Q6543,RU-KK,537513,2018
http://www.wikidata.org/entity/Q7525,UA-40,509992,2020
http://www.wikidata.org/entity/Q7525,UA-40,522057,2021
http://www.wikidata.org/entity/Q3941,RU-AST,997778,2021
http://www.wikidata.org/entity/Q3941,RU-AST,1014065,2019
http://www.wikidata.org/entity/Q3941,RU-AST,1017514,2018
http://www.wikidata.org/entity/Q7194,ES-GI,742728,2017
http://www.wikidata.org/entity/Q7194,ES-GI,747157,2018
http://www.wikidata.org/entity/Q7194,ES-GI,755396,2019
http://www.wikidata.org/entity/Q7194,ES-GI,765554,2020
http://www.wikidata.org/entity/Q7194,ES-GI,786596,2021
http://www.wikidata.org/entity/Q7788,RU-KHA,1301127,2021
http://www.wikidata.org/entity/Q7788,RU-KHA,1328302,2018
http://www.wikidata.org/entity/Q5711,FI-18,1704607,2021
http://www.wikidata.org/entity/Q5813,ES-CN,2108121,2017
http://www.wikidata.org/entity/Q5813,ES-CN,2127685,2018
http://www.wikidata.org/entity/Q5813,ES-CN,2153389,2019
http://www.wikidata.org/entity/Q9337,BE-VLG,6516011,2017
http://www.wikidata.org/entity/Q5813,ES-CN,2175952,2020
http://www.wikidata.org/entity/Q9337,BE-VLG,6552967,2018
http://www.wikidata.org/entity/Q9337,BE-VLG,6589069,2019
http://www.wikidata.org/entity/Q9337,BE-VLG,6629143,2020
http://www.wikidata.org/entity/Q54932,ES-CR,492591,2021
http://www.wikidata.org/entity/Q50615,NO-02,624055,2019
http://www.wikidata.org/entity/Q54932,ES-CR,495761,2019
http://www.wikidata.org/entity/Q41967,AT-4,1490279,2020
http://www.wikidata.org/entity/Q35715,AU-SA,1742744,2018
http://www.wikidata.org/entity/Q35715,AU-SA,1767247,2020
http://www.wikidata.org/entity/Q44757,AR-H,1192616,2019
http://www.wikidata.org/entity/Q41079,CN-NM,24049155,2020
http://www.wikidata.org/entity/Q48326,JP-03,1207365,2021
http://www.wikidata.org/entity/Q41161,KR-46,1790352,2018
http://www.wikidata.org/entity/Q45833,CN-QH,5923957,2020
http://www.wikidata.org/entity/Q44843,JP-09,1927754,2021
http://www.wikidata.org/entity/Q20937,KR-41,13103188,2018
http://www.wikidata.org/entity/Q42722,BR-PI,3219257,2017
http://www.wikidata.org/entity/Q47097,CN-GZ,38562148,2020
http://www.wikidata.org/entity/Q40885,BR-AL,3375823,2017
http://www.wikidata.org/entity/Q42824,BR-MT,3344544,2017
http://www.wikidata.org/entity/Q43255,BR-RN,3507003,2017
http://www.wikidata.org/entity/Q38088,BR-PB,4025558,2017
http://www.wikidata.org/entity/Q40398,BN-TU,51300,2018
http://www.wikidata.org/entity/Q43745,TR-08,174010,2018
http://www.wikidata.org/entity/Q30669,EG-SHG,4967409,2017
http://www.wikidata.org/entity/Q30835,EG-GH,4999633,2017
http://www.wikidata.org/entity/Q40885,BR-AL,3322820,2018
http://www.wikidata.org/entity/Q44724,CO-AMA,79020,2020
http://www.wikidata.org/entity/Q47097,CN-GZ,35800000,2018
http://www.wikidata.org/entity/Q30675,EG-MN,5497095,2017
http://www.wikidata.org/entity/Q50619,NO-07,251078,2019
http://www.wikidata.org/entity/Q58289,HR-19,115862,2021
http://www.wikidata.org/entity/Q605208,CZ-312,61320,2021
http://www.wikidata.org/entity/Q605208,CZ-312,59118,2021
http://www.wikidata.org/entity/Q605208,CZ-312,60096,2022
http://www.wikidata.org/entity/Q605208,CZ-312,61155,2017
http://www.wikidata.org/entity/Q605208,CZ-312,61187,2018
http://www.wikidata.org/entity/Q605208,CZ-312,61381,2019
http://www.wikidata.org/entity/Q605208,CZ-312,61556,2020
http://www.wikidata.org/entity/Q7903,MA-CAS,3499000,2018
http://www.wikidata.org/entity/Q647378,TR-73,524190,2018
http://www.wikidata.org/entity/Q670975,SI-079,4050,2017
http://www.wikidata.org/entity/Q670975,SI-079,4150,2020
http://www.wikidata.org/entity/Q670975,SI-079,4038,2017
http://www.wikidata.org/entity/Q670975,SI-079,4092,2018
http://www.wikidata.org/entity/Q670975,SI-079,4112,2018
http://www.wikidata.org/entity/Q670975,SI-079,4133,2019
http://www.wikidata.org/entity/Q670975,SI-079,4216,2020
http://www.wikidata.org/entity/Q691781,LU-RM,21987,2017
http://www.wikidata.org/entity/Q691781,LU-RM,22366,2018
http://www.wikidata.org/entity/Q691781,LU-RM,22806,2019
http://www.wikidata.org/entity/Q691781,LU-RM,23529,2021
http://www.wikidata.org/entity/Q3769,FR-GF,268700,2017
http://www.wikidata.org/entity/Q2272,NO-0806,54942,2020
http://www.wikidata.org/entity/Q2272,NO-0806,55144,2021
http://www.wikidata.org/entity/Q2272,NO-0806,55513,2022
http://www.wikidata.org/entity/Q2073,RU-KO,813590,2021
http://www.wikidata.org/entity/Q3093,FR-02,534490,2017
http://www.wikidata.org/entity/Q2109,CL-AP,226068,2017
http://www.wikidata.org/entity/Q3240,FR-13,2043110,2019
http://www.wikidata.org/entity/Q3769,FR-GF,276128,2018
http://www.wikidata.org/entity/Q2114,CL-TA,330558,2017
http://www.wikidata.org/entity/Q3769,FR-GF,281678,2019
http://www.wikidata.org/entity/Q3769,FR-GF,282731,2017
http://www.wikidata.org/entity/Q3377,FR-28,431575,2019
http://www.wikidata.org/entity/Q3377,FR-28,431997,2018
http://www.wikidata.org/entity/Q3377,FR-28,433233,2017
http://www.wikidata.org/entity/Q3586,ID-JI,40665696,2020
http://www.wikidata.org/entity/Q3093,FR-02,531345,2019
http://www.wikidata.org/entity/Q3093,FR-02,533316,2018
http://www.wikidata.org/entity/Q3680,RU-KDA,5603420,2018
http://www.wikidata.org/entity/Q2073,RU-KO,840873,2018
http://www.wikidata.org/entity/Q2810,RU-BRY,1182682,2021
http://www.wikidata.org/entity/Q2810,RU-BRY,1210982,2018
http://www.wikidata.org/entity/Q3680,RU-KDA,5675462,2020
http://www.wikidata.org/entity/Q3680,RU-KDA,5683947,2021
http://www.wikidata.org/entity/Q3329,RU-BEL,1541259,2021
http://www.wikidata.org/entity/Q3329,RU-BEL,1549876,2018
http://www.wikidata.org/entity/Q3240,FR-13,2024162,2017
http://www.wikidata.org/entity/Q3240,FR-13,2034357,2018
http://www.wikidata.org/entity/Q3908,ES-GA,2708339,2017
http://www.wikidata.org/entity/Q13615,PH-02,3685744,2020
http://www.wikidata.org/entity/Q13701,PH-12,4360974,2020
http://www.wikidata.org/entity/Q12772,FR-81,387890,2017
http://www.wikidata.org/entity/Q12576,FR-46,173828,2017
http://www.wikidata.org/entity/Q12576,FR-46,173929,2018
http://www.wikidata.org/entity/Q12576,FR-46,174094,2019
http://www.wikidata.org/entity/Q13606,PH-15,1797660,2020
http://www.wikidata.org/entity/Q12553,FR-36,219316,2019
http://www.wikidata.org/entity/Q12553,FR-36,220595,2018
http://www.wikidata.org/entity/Q12553,FR-36,222232,2017
http://www.wikidata.org/entity/Q7797,RU-SAK,485621,2021
http://www.wikidata.org/entity/Q7797,RU-SAK,488453,2020
http://www.wikidata.org/entity/Q7797,RU-SAK,490181,2018
http://www.wikidata.org/entity/Q12772,FR-81,388596,2018
http://www.wikidata.org/entity/Q12772,FR-81,389844,2019
http://www.wikidata.org/entity/Q12549,FR-35,1060199,2017
http://www.wikidata.org/entity/Q12549,FR-35,1069228,2018
http://www.wikidata.org/entity/Q12549,FR-35,1079498,2019
http://www.wikidata.org/entity/Q13726,PH-ALB,1374768,2020
http://www.wikidata.org/entity/Q12526,FR-33,1583384,2017
http://www.wikidata.org/entity/Q12526,FR-33,1601845,2018
http://www.wikidata.org/entity/Q12526,FR-33,1623749,2019
http://www.wikidata.org/entity/Q13840,PH-LAG,3382193,2020
http://www.wikidata.org/entity/Q13879,PH-SIG,103395,2020
http://www.wikidata.org/entity/Q13863,PH-NER,1432990,2020
http://www.wikidata.org/entity/Q13889,PH-SUN,534636,2020
http://www.wikidata.org/entity/Q13841,PH-LAN,722902,2020
http://www.wikidata.org/entity/Q13789,PH-COM,767547,2020
http://www.wikidata.org/entity/Q13791,PH-NCO,1275185,2020
http://www.wikidata.org/entity/Q13872,PH-QUE,1950459,2020
http://www.wikidata.org/entity/Q272662,TR-18,216362,2018
http://www.wikidata.org/entity/Q244691,TH-80,1550721,2020
http://www.wikidata.org/entity/Q236027,SA-03,2132679,2017
http://www.wikidata.org/entity/Q244691,TH-80,1557482,2017
http://www.wikidata.org/entity/Q244691,TH-80,1560433,2018
http://www.wikidata.org/entity/Q244691,TH-80,1561927,2019
http://www.wikidata.org/entity/Q275758,TH-63,644267,2017
http://www.wikidata.org/entity/Q275758,TH-63,654676,2018
http://www.wikidata.org/entity/Q275758,TH-63,670265,2020
http://www.wikidata.org/entity/Q241551,IS-6,30600,2020
http://www.wikidata.org/entity/Q237258,TW-ILA,433191,2020
http://www.wikidata.org/entity/Q237258,TW-ILA,455221,2018
http://www.wikidata.org/entity/Q244512,PT-10,124857,2018
http://www.wikidata.org/entity/Q249904,TW-TTT,189529,2020
http://www.wikidata.org/entity/Q249904,TW-TTT,218919,2018
http://www.wikidata.org/entity/Q244978,KM-G,379367,2017
http://www.wikidata.org/entity/Q269680,AZ-AST,108634,2019
http://www.wikidata.org/entity/Q275758,TH-63,665620,2019
http://www.wikidata.org/entity/Q279072,SI-016,3271,2020
http://www.wikidata.org/entity/Q279072,SI-016,3281,2019
http://www.wikidata.org/entity/Q279072,SI-016,3285,2020
http://www.wikidata.org/entity/Q279072,SI-016,3301,2018
http://www.wikidata.org/entity/Q279072,SI-016,3308,2017
http://www.wikidata.org/entity/Q279072,SI-016,3314,2018
http://www.wikidata.org/entity/Q279072,SI-016,3319,2017
http://www.wikidata.org/entity/Q995065,SI-159,3850,2019
http://www.wikidata.org/entity/Q995101,SI-187,1391,2020
http://www.wikidata.org/entity/Q995101,SI-187,1392,2020
http://www.wikidata.org/entity/Q995101,SI-187,1412,2019
http://www.wikidata.org/entity/Q995101,SI-187,1433,2018
http://www.wikidata.org/entity/Q995101,SI-187,1439,2018
http://www.wikidata.org/entity/Q995101,SI-187,1443,2017
http://www.wikidata.org/entity/Q995065,SI-159,3737,2017
http://www.wikidata.org/entity/Q995065,SI-159,3745,2018
http://www.wikidata.org/entity/Q995065,SI-159,3747,2017
http://www.wikidata.org/entity/Q995065,SI-159,3763,2018
http://www.wikidata.org/entity/Q995065,SI-159,3879,2020
http://www.wikidata.org/entity/Q995065,SI-159,3905,2020
http://www.wikidata.org/entity/Q1005364,SI-101,6178,2020
http://www.wikidata.org/entity/Q1005364,SI-101,6183,2019
http://www.wikidata.org/entity/Q1005364,SI-101,6191,2018
http://www.wikidata.org/entity/Q1005364,SI-101,6205,2017
http://www.wikidata.org/entity/Q917397,SI-037,7277,2017
http://www.wikidata.org/entity/Q917397,SI-037,7339,2017
http://www.wikidata.org/entity/Q917397,SI-037,7366,2018
http://www.wikidata.org/entity/Q917397,SI-037,7441,2018
http://www.wikidata.org/entity/Q917397,SI-037,7577,2019
http://www.wikidata.org/entity/Q917397,SI-037,7595,2020
http://www.wikidata.org/entity/Q917397,SI-037,7617,2020
http://www.wikidata.org/entity/Q926530,PS-SLT,75444,2017
http://www.wikidata.org/entity/Q837629,CZ-713,107580,2022
http://www.wikidata.org/entity/Q837629,CZ-713,106358,2021
http://www.wikidata.org/entity/Q837629,CZ-713,108504,2021
http://www.wikidata.org/entity/Q837629,CZ-713,108587,2019
http://www.wikidata.org/entity/Q837629,CZ-713,108646,2020
http://www.wikidata.org/entity/Q837629,CZ-713,108669,2018
http://www.wikidata.org/entity/Q837629,CZ-713,108757,2017
http://www.wikidata.org/entity/Q727267,IS-4,7115,2020
http://www.wikidata.org/entity/Q838301,CZ-532,170848,2017
http://www.wikidata.org/entity/Q838301,CZ-532,172022,2018
http://www.wikidata.org/entity/Q838301,CZ-532,172224,2022
http://www.wikidata.org/entity/Q838301,CZ-532,173206,2021
http://www.wikidata.org/entity/Q838301,CZ-532,173329,2019
http://www.wikidata.org/entity/Q838301,CZ-532,175441,2020
http://www.wikidata.org/entity/Q838301,CZ-532,176137,2021
http://www.wikidata.org/entity/Q852541,CZ-723,137540,2021
http://www.wikidata.org/entity/Q852541,CZ-723,143380,2017
http://www.wikidata.org/entity/Q739824,CZ-513,173890,2022
http://www.wikidata.org/entity/Q852480,CZ-427,115581,2021
http://www.wikidata.org/entity/Q852480,CZ-427,116916,2022
http://www.wikidata.org/entity/Q852480,CZ-427,118651,2021
http://www.wikidata.org/entity/Q852480,CZ-427,119296,2017
http://www.wikidata.org/entity/Q852480,CZ-427,119338,2020
http://www.wikidata.org/entity/Q852480,CZ-427,119407,2019
http://www.wikidata.org/entity/Q852480,CZ-427,119498,2018
http://www.wikidata.org/entity/Q852468,CZ-207,126825,2017
http://www.wikidata.org/entity/Q852468,CZ-207,127592,2022
http://www.wikidata.org/entity/Q852468,CZ-207,127776,2018
http://www.wikidata.org/entity/Q852468,CZ-207,128901,2021
http://www.wikidata.org/entity/Q852468,CZ-207,129136,2019
http://www.wikidata.org/entity/Q852468,CZ-207,130365,2020
http://www.wikidata.org/entity/Q852468,CZ-207,131042,2021
http://www.wikidata.org/entity/Q852541,CZ-723,140171,2022
http://www.wikidata.org/entity/Q852541,CZ-723,141896,2021
http://www.wikidata.org/entity/Q852541,CZ-723,143291,2018
http://www.wikidata.org/entity/Q852541,CZ-723,143332,2019
http://www.wikidata.org/entity/Q852541,CZ-723,143334,2020
http://www.wikidata.org/entity/Q739824,CZ-513,173382,2017
http://www.wikidata.org/entity/Q739824,CZ-513,173948,2018
http://www.wikidata.org/entity/Q739824,CZ-513,174225,2021
http://www.wikidata.org/entity/Q739824,CZ-513,174811,2019
http://www.wikidata.org/entity/Q739824,CZ-513,175465,2021
http://www.wikidata.org/entity/Q739824,CZ-513,175626,2020
http://www.wikidata.org/entity/Q741009,PY-1,244071,2017
http://www.wikidata.org/entity/Q853861,LT-KU,569571,2021
http://www.wikidata.org/entity/Q856010,NZ-WGN,506814,2018
http://www.wikidata.org/entity/Q691781,LU-RM,23244,2020
http://www.wikidata.org/entity/Q691781,LU-RM,23717,2022
http://www.wikidata.org/entity/Q810793,GB-BAS,192106,2018
http://www.wikidata.org/entity/Q13902,PH-ZSI,669840,2020
http://www.wikidata.org/entity/Q13893,PH-TAW,440276,2020
http://www.wikidata.org/entity/Q13984,CO-CAS,375258,2018
http://www.wikidata.org/entity/Q13984,CO-CAS,435195,2020
http://www.wikidata.org/entity/Q13881,PH-SOR,828655,2020
http://www.wikidata.org/entity/Q13899,PH-ZAN,1047455,2020
http://www.wikidata.org/entity/Q15912,SI-104,9390,2017
http://www.wikidata.org/entity/Q15912,SI-104,9377,2018
http://www.wikidata.org/entity/Q15912,SI-104,9385,2017
http://www.wikidata.org/entity/Q15912,SI-104,9424,2018
http://www.wikidata.org/entity/Q15912,SI-104,9513,2019
http://www.wikidata.org/entity/Q15912,SI-104,9527,2020
http://www.wikidata.org/entity/Q15912,SI-104,9619,2020
http://www.wikidata.org/entity/Q15887,SI-057,13023,2019
http://www.wikidata.org/entity/Q15887,SI-057,13028,2018
http://www.wikidata.org/entity/Q15887,SI-057,13067,2020
http://www.wikidata.org/entity/Q15887,SI-057,13081,2018
http://www.wikidata.org/entity/Q15887,SI-057,13085,2020
http://www.wikidata.org/entity/Q15887,SI-057,13131,2017
http://www.wikidata.org/entity/Q15887,SI-057,13145,2017
http://www.wikidata.org/entity/Q16641,US-AS,49710,2020
http://www.wikidata.org/entity/Q16120,IT-AV,405963,2021
http://www.wikidata.org/entity/Q13995,CO-QUI,555401,2020
http://www.wikidata.org/entity/Q16161,IT-CO,594657,2021
http://www.wikidata.org/entity/Q15701,JP-46,1586435,2021
http://www.wikidata.org/entity/Q383150,KE-40,315943,2019
http://www.wikidata.org/entity/Q393910,SI-191,1300,2017
http://www.wikidata.org/entity/Q393910,SI-191,1295,2017
http://www.wikidata.org/entity/Q393910,SI-191,1296,2018
http://www.wikidata.org/entity/Q393910,SI-191,1297,2019
http://www.wikidata.org/entity/Q393910,SI-191,1301,2018
http://www.wikidata.org/entity/Q393910,SI-191,1309,2020
http://www.wikidata.org/entity/Q393910,SI-191,1311,2020
http://www.wikidata.org/entity/Q382144,TH-46,977175,2020
http://www.wikidata.org/entity/Q382144,TH-46,983418,2019
http://www.wikidata.org/entity/Q382144,TH-46,985346,2018
http://www.wikidata.org/entity/Q382144,TH-46,986005,2017
http://www.wikidata.org/entity/Q388995,TR-61,807903,2018
http://www.wikidata.org/entity/Q380761,TH-33,1472031,2017
http://www.wikidata.org/entity/Q380761,TH-33,1472859,2019
http://www.wikidata.org/entity/Q380761,TH-33,1473011,2018
http://www.wikidata.org/entity/Q380752,TH-41,1567983,2020
http://www.wikidata.org/entity/Q380752,TH-41,1583092,2017
http://www.wikidata.org/entity/Q380752,TH-41,1586646,2019
http://www.wikidata.org/entity/Q380752,TH-41,1586666,2018
http://www.wikidata.org/entity/Q430693,TR-50,298339,2018
http://www.wikidata.org/entity/Q368105,CZ-631,92907,2021
http://www.wikidata.org/entity/Q368105,CZ-631,93692,2022
http://www.wikidata.org/entity/Q368105,CZ-631,94486,2018
http://www.wikidata.org/entity/Q368105,CZ-631,94579,2017
http://www.wikidata.org/entity/Q368105,CZ-631,94612,2021
http://www.wikidata.org/entity/Q368105,CZ-631,94732,2019
http://www.wikidata.org/entity/Q466019,EC-O,715751,2020
http://www.wikidata.org/entity/Q380761,TH-33,1458580,2020
http://www.wikidata.org/entity/Q13744,PH-BTG,2908494,2020
http://www.wikidata.org/entity/Q13917,FR-IDF,12213447,2018
http://www.wikidata.org/entity/Q13917,FR-IDF,12262544,2019
http://www.wikidata.org/entity/Q13904,ES-L,434930,2019
http://www.wikidata.org/entity/Q13737,PH-BAS,426207,2020
http://www.wikidata.org/entity/Q19038,GE-GU,107100,2021
http://www.wikidata.org/entity/Q13794,PH-DAS,680481,2020
http://www.wikidata.org/entity/Q16163,IT-CR,352242,2021
http://www.wikidata.org/entity/Q13904,ES-L,427718,2018
http://www.wikidata.org/entity/Q13904,ES-L,428418,2017
http://www.wikidata.org/entity/Q13904,ES-L,434613,2020
http://www.wikidata.org/entity/Q13904,ES-L,439727,2021
http://www.wikidata.org/entity/Q15091,IT-CN,580789,2021
http://www.wikidata.org/entity/Q23066,GB-CMA,498888,2018
http://www.wikidata.org/entity/Q23066,GB-CMA,499781,2020
http://www.wikidata.org/entity/Q23086,GB-NYK,618054,2019
http://www.wikidata.org/entity/Q16153,IT-CE,913666,2020
http://www.wikidata.org/entity/Q13752,PH-BOH,1394329,2020
http://www.wikidata.org/entity/Q13917,FR-IDF,12174880,2017
http://www.wikidata.org/entity/Q23086,GB-NYK,1170146,2020
http://www.wikidata.org/entity/Q16967,CN-ZJ,64567588,2020
http://www.wikidata.org/entity/Q41278,KR-31,1150116,2018
http://www.wikidata.org/entity/Q43695,BR-TO,1550194,2017
http://www.wikidata.org/entity/Q42362,BR-MA,7000229,2017
http://www.wikidata.org/entity/Q41154,KR-47,2672902,2018
http://www.wikidata.org/entity/Q30946,EG-KFS,3362185,2017
http://www.wikidata.org/entity/Q39109,BR-MG,21119536,2017
http://www.wikidata.org/entity/Q17269,CN-XZ,3648100,2020
http://www.wikidata.org/entity/Q16641,US-AS,55689,2018
http://www.wikidata.org/entity/Q17070,FR-RE,861210,2019
http://www.wikidata.org/entity/Q23077,GB-LAN,1498300,2018
http://www.wikidata.org/entity/Q23079,GB-NBL,323820,2020
http://www.wikidata.org/entity/Q26067,DK-81,590580,2019
http://www.wikidata.org/entity/Q23129,GB-HEF,192107,2018
http://www.wikidata.org/entity/Q23129,GB-HEF,193615,2020
http://www.wikidata.org/entity/Q25416,NO-1103,132729,2017
http://www.wikidata.org/entity/Q25416,NO-1103,143574,2020
http://www.wikidata.org/entity/Q25416,NO-1103,144147,2021
http://www.wikidata.org/entity/Q25416,NO-1103,144699,2022
http://www.wikidata.org/entity/Q23079,GB-NBL,320274,2018
http://www.wikidata.org/entity/Q17070,FR-RE,853659,2017
http://www.wikidata.org/entity/Q17070,FR-RE,855961,2018
http://www.wikidata.org/entity/Q17070,FR-RE,866506,2019
http://www.wikidata.org/entity/Q26888,GB-CRY,385346,2018
http://www.wikidata.org/entity/Q30682,EG-MT,425624,2017
http://www.wikidata.org/entity/Q34366,AU-TAS,539590,2020
http://www.wikidata.org/entity/Q23115,GB-NTH,747622,2018
http://www.wikidata.org/entity/Q36955,VN-71,613500,2020
http://www.wikidata.org/entity/Q23115,GB-NTH,757181,2020
http://www.wikidata.org/entity/Q23165,GB-GLS,916202,2018
http://www.wikidata.org/entity/Q23165,GB-GLS,928466,2020
http://www.wikidata.org/entity/Q23064,GB-CHS,1059271,2018
http://www.wikidata.org/entity/Q23064,GB-CHS,1069646,2020
http://www.wikidata.org/entity/Q23077,GB-LAN,1515487,2020
http://www.wikidata.org/entity/Q42508,BR-RR,652713,2021
http://www.wikidata.org/entity/Q29937,EG-ASN,1473975,2017
http://www.wikidata.org/entity/Q13865,PH-NUE,2310134,2020
http://www.wikidata.org/entity/Q6563,RU-KYA,2855899,2021
http://www.wikidata.org/entity/Q6563,RU-KYA,2876497,2018
http://www.wikidata.org/entity/Q5118,RU-DA,3063885,2018
http://www.wikidata.org/entity/Q5118,RU-DA,3111353,2020
http://www.wikidata.org/entity/Q5118,RU-DA,3133303,2021
http://www.wikidata.org/entity/Q13682,PH-09,3875576,2020
http://www.wikidata.org/entity/Q13860,PH-MSR,956900,2020
http://www.wikidata.org/entity/Q13740,PH-BTN,18831,2020
http://www.wikidata.org/entity/Q7948,RU-KAM,311667,2021
http://www.wikidata.org/entity/Q7948,RU-KAM,315557,2018
http://www.wikidata.org/entity/Q12933,PH-01,5301139,2020
http://www.wikidata.org/entity/Q5466,RU-CU,1207875,2021
http://www.wikidata.org/entity/Q5466,RU-CU,1223395,2019
http://www.wikidata.org/entity/Q5466,RU-CU,1231117,2018
http://www.wikidata.org/entity/Q5187,RU-CE,1478726,2020
http://www.wikidata.org/entity/Q5187,RU-CE,1492992,2021
http://www.wikidata.org/entity/Q5422,RU-UD,1493356,2021
http://www.wikidata.org/entity/Q5422,RU-UD,1500955,2020
http://www.wikidata.org/entity/Q5422,RU-UD,1513044,2018
