Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bangladesh,MtCO2e,94.24,94.45,96.60,98.05,100.67,105.83,106.38,108.65,108.69,112.94,115.46,120.44,124.20,126.10,128.19,133.11,138.89,142.17,150.85,155.00,163.18,168.96,172.84,176.78,181.85,192.18,193.96,203.08,208.00,215.94
Uzbekistan,MtCO2e,165.19,166.53,156.03,158.61,154.80,143.16,144.46,148.52,165.39,165.65,173.03,175.83,182.18,174.05,177.74,172.58,183.31,178.76,188.06,175.24,187.12,190.28,175.02,173.85,166.11,161.03,170.89,176.31,183.81,188.76
Colombia,MtCO2e,123.41,124.82,127.94,132.80,135.31,139.33,139.52,145.17,147.13,135.84,139.62,141.92,140.05,141.60,142.88,145.27,146.38,151.34,152.47,156.18,161.14,165.08,163.95,170.90,174.36,175.23,178.21,173.31,181.52,187.34
Netherlands,MtCO2e,202.34,207.66,207.00,212.34,211.98,217.20,228.06,220.01,220.22,207.94,205.96,207.00,206.83,206.78,208.53,202.76,198.11,197.60,194.93,189.85,200.51,187.34,185.72,185.39,178.19,186.45,187.34,183.35,177.26,172.23
Turkmenistan,MtCO2e,111.39,103.32,72.90,79.66,72.48,73.25,69.43,59.67,60.89,74.69,88.76,89.66,94.04,106.02,112.83,115.76,117.54,126.57,131.90,105.04,116.78,136.68,144.42,151.15,151.33,155.08,152.94,152.51,154.97,157.33
Ethiopia,MtCO2e,67.45,67.85,68.69,62.81,63.97,64.81,68.07,70.23,76.07,75.64,72.74,76.54,85.84,83.99,86.14,89.44,94.36,104.24,108.35,112.80,117.50,117.08,122.61,127.20,133.50,136.86,142.83,146.53,148.52,150.96
Kuwait,MtCO2e,39.06,10.61,32.10,46.35,54.01,53.83,53.88,56.46,61.23,63.99,69.83,72.92,74.79,79.93,85.10,94.35,97.99,96.01,102.94,103.19,107.36,113.06,117.63,121.87,121.11,125.98,131.72,131.10,133.84,136.69
Myanmar,MtCO2e,55.65,55.06,57.79,60.47,63.11,66.23,66.30,65.13,66.78,71.46,73.49,73.05,73.54,77.69,80.18,83.40,86.55,89.08,87.42,88.47,90.57,89.66,93.55,96.73,102.26,105.68,110.09,124.35,128.14,133.25
Libya,MtCO2e,87.43,92.23,83.82,91.15,105.57,113.81,116.82,109.17,109.06,105.88,110.66,106.86,105.88,114.61,119.42,129.42,131.68,128.21,133.12,130.08,137.33,75.58,132.61,114.94,97.29,90.01,90.21,112.27,121.57,126.69
Czech Republic,MtCO2e,181.96,165.26,160.84,156.18,148.89,148.82,150.43,147.95,141.35,133.27,144.10,143.80,138.19,142.54,143.09,140.02,141.02,143.97,138.94,131.32,132.75,129.99,127.31,121.55,118.14,120.46,122.98,122.59,121.21,116.59
